run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,pass_filter_applied,n_variants,tmb,tmb_merged
232,EA,Uhem + COSAP,YES,NO,BOWTIE,Strelka,MARK,True,1230,15.229853405107958,15.239424554868489
233,LL,Altay + COSAP,YES,NO,BOWTIE,Strelka,MARK,True,1313,16.257558960086786,16.267775967920592
234,NC,Uhem + COSAP,YES,NO,BOWTIE,Strelka,MARK,True,1209,14.969831517703676,14.979239257590246
237,LL,Uhem + COSAP,NO,YES,BOWTIE,Strelka,MARK,True,838,10.37611150689469,10.382632339007962
238,EA,Uhem + COSAP,NO,YES,BOWTIE,Strelka,MARK,True,1080,13.372554209363086,13.380958145738186
239,LL,Altay + COSAP,NO,YES,BOWTIE,Strelka,MARK,True,838,10.37611150689469,10.382632339007962
240,NC,Uhem + COSAP,NO,YES,BOWTIE,Strelka,MARK,True,1045,12.939184397022615,12.947315983607782
243,LL,Uhem + COSAP,YES,YES,BWA,SomaticSniper,MARK,False,2210,27.36420815064113,27.381405094519806
244,EA,Uhem + COSAP,YES,YES,BWA,SomaticSniper,MARK,False,1550,19.192091689363686,19.20415289434647
245,LL,Altay + COSAP,YES,YES,BWA,SomaticSniper,MARK,False,2210,27.36420815064113,27.381405094519806
246,NC,Uhem + COSAP,YES,YES,BWA,SomaticSniper,MARK,False,1499,18.56060996281043,18.572274315242165
249,LL,Uhem + COSAP,NO,NO,BWA,SomaticSniper,MARK,False,2622,32.46558994162038,32.485992831597706
250,EA,Uhem + COSAP,NO,NO,BWA,SomaticSniper,MARK,False,1543,19.105417726895592,19.11742446192039
251,LL,Altay + COSAP,NO,NO,BWA,SomaticSniper,MARK,False,2622,32.46558994162038,32.485992831597706
252,NC,Uhem + COSAP,NO,NO,BWA,SomaticSniper,MARK,False,1516,18.771103871661516,18.782900508276935
255,LL,Uhem + COSAP,YES,NO,BWA,SomaticSniper,MARK,False,2724,33.728553394726895,33.74974998980631
256,EA,Uhem + COSAP,YES,NO,BWA,SomaticSniper,MARK,False,1600,19.811191421278647,19.823641697389906
257,LL,Altay + COSAP,YES,NO,BWA,SomaticSniper,MARK,False,2724,33.728553394726895,33.74974998980631
258,NC,Uhem + COSAP,YES,NO,BWA,SomaticSniper,MARK,False,1562,19.340675625023277,19.352830207076895
261,LL,Uhem + COSAP,NO,YES,BWA,SomaticSniper,MARK,False,2164,26.79463639727937,26.811475395719846
262,EA,Uhem + COSAP,NO,YES,BWA,SomaticSniper,MARK,False,1473,18.238678102214653,18.25014013765958
263,LL,Altay + COSAP,NO,YES,BWA,SomaticSniper,MARK,False,2164,26.79463639727937,26.811475395719846
264,NC,Uhem + COSAP,NO,YES,BWA,SomaticSniper,MARK,False,1456,18.02818419336357,18.03951394462481
267,LL,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,False,1752,21.693254606300115,21.706887658641946
268,EA,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,False,1211,14.994595506980275,15.004018809711983
