run,TestCaseNo,phase,Sample,operatingSystem,Environment,isTrimmed,baseRecalibration,Mapper,M_Version,VariantCaller,VC_Version,ReferenceGenom,Duplicates,VariantFilter,FilterPass,SOMATICfilter,remove_indels,FileLink,Author,Slurm_id,Node,ElapsedTime,vcf_relpath
165,165,done,LL,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/15aaRh7RdN3-O9P8_r4mWSCvRF7P-ZF5s?usp=sharing,GÜL EDA,658693.0,s008,3:32:01,vcf/TESTCASES_bedded/TestCase 165/snp_SRR7890851-SRR7890851bwa2-SRR7890850-SRR7890850bwa2_mutect.vcf.secondbed.vcf.recode.vcf
166,166,done,EA,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/11W_Ar5CA-RP9wUBfkeu9D-UrWJJD53WY?usp=share_link,GUL EDA,664682.0,s004,08:32:12,vcf/TESTCASES_bedded/TestCase 166/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_mutect.vcf.secondbed.vcf.recode.vcf
167,167,done,LL,,Altay + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1T3ikpDtSbAN7ZQWfpBFKDc5fs7muHtzg?usp=share_link,GÜL EDA,29303.0,a062,03:16:30,vcf/TESTCASES_bedded/TestCase 167/snp_SRR7890851-SRR7890851bwa2-SRR7890850-SRR7890850bwa2_mutect.vcf.secondbed.vcf.recode.vcf
168,168,done,NC,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1lux6hcvBRDGW3J6wZ7N9r5qthnewlQdi?usp=sharing,GÜL EDA,658815.0,s020,9:05:42,vcf/TESTCASES_bedded/TestCase 168/snp_SRR7890845-SRR7890845bwa2-SRR7890844-SRR7890844bwa2_mutect.vcf.secondbed.vcf.recode.vcf
171,171,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/18Um7Eo57qudYYSNijf4HYY-TkSheYP4q?usp=sharing,GÜL EDA,658696.0,s028,3:02:11,vcf/TESTCASES_bedded/TestCase 171/snp_SRR7890851_bowtie-SRR7890850_bowtie_mutect.vcf.secondbed.vcf.recode.vcf
172,172,done,EA,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1VE0n871upyH9O33jNIJcEfHOi5SFwrYx?usp=share_link,GUL EDA,664679.0,s067,08:53:30,vcf/TESTCASES_bedded/TestCase 172/snp_SRR7890919_bowtie-SRR7890918_bowtie_mutect.vcf.secondbed.vcf.recode.vcf
173,173,done,LL,,Altay + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1wGXIB7Mn3RKoxlYMHqJlrwb_8DcN9w6I?usp=share_link,GÜL EDA,29304.0,a057,02:53:08,vcf/TESTCASES_bedded/TestCase 173/snp_SRR7890851_bowtie-SRR7890850_bowtie_mutect.vcf.secondbed.vcf.recode.vcf
174,174,done,NC,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1KeFW5JRrWc1pIGuniBdVy5MfQI2sZMev?usp=sharing,GÜL EDA,658818.0,s022,7:10:35,vcf/TESTCASES_bedded/TestCase 174/snp_SRR7890845_bowtie-SRR7890844_bowtie_mutect.vcf.secondbed.vcf.recode.vcf
177,177,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1A6EcNVssFwIcmaEshf0J6ndUucF7MebZ?usp=sharing,GÜL EDA,658696.0,s028,3:51:14,vcf/TESTCASES_bedded/TestCase 177/snp_SRR7890851-SRR7890851bowtie-SRR7890850-SRR7890850bowtie_mutect.vcf.secondbed.vcf.recode.vcf
178,178,done,EA,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1r0o01kibN26PneNXroov7VesfgAJy_pc?usp=share_link,GUL EDA,664679.0,s067,12:00:05,vcf/TESTCASES_bedded/TestCase 178/snp_SRR7890919-SRR7890919bowtie-SRR7890918-SRR7890918bowtie_mutect.vcf.secondbed.vcf.recode.vcf
179,179,done,LL,,Altay + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/164mc4w3XNp58to9oFUca2bEiwGUZehO4?usp=share_link,GÜL EDA,29304.0,a057,03:54:07,vcf/TESTCASES_bedded/TestCase 179/snp_SRR7890851-SRR7890851bowtie-SRR7890850-SRR7890850bowtie_mutect.vcf.secondbed.vcf.recode.vcf
180,180,done,NC,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/17f525kcRsQlSudplvE89GR2nVhAllsR1?usp=sharing,GÜL EDA,658818.0,s022,10:56:36,vcf/TESTCASES_bedded/TestCase 180/snp_SRR7890845-SRR7890845bowtie-SRR7890844-SRR7890844bowtie_mutect.vcf.secondbed.vcf.recode.vcf
183,183,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1HJ8_4WI0ZNmW5iTS-7cDPVB_KAT2KEqX?usp=sharing,GÜL EDA,658696.0,s028,2:28:14,vcf/TESTCASES_bedded/TestCase 183/snp_SRR7890851_bowtie-SRR7890850_bowtie_mutect.vcf.secondbed.vcf.recode.vcf
184,184,done,EA,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1XQ09fu4Lmuf3nSradkI0lB_tff2-OYZY?usp=share_link,GUL EDA,664679.0,s067,07:06:47,vcf/TESTCASES_bedded/TestCase 184/snp_SRR7890919_bowtie-SRR7890918_bowtie_mutect.vcf.secondbed.vcf.recode.vcf
185,185,done,LL,,Altay + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1LJt6pHE1yhnf_K6_om32tSxm31TIOZ9l?usp=share_link,GÜL EDA,29304.0,a057,02:30:39,vcf/TESTCASES_bedded/TestCase 185/snp_SRR7890851_bowtie-SRR7890850_bowtie_mutect.vcf.secondbed.vcf.recode.vcf
186,186,done,NC,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1BZVJWs4-LF47rW0BMHuCfxFb-uSL1mkl?usp=sharing,GÜL EDA,658818.0,s022,6:09:56,vcf/TESTCASES_bedded/TestCase 186/snp_SRR7890845_bowtie-SRR7890844_bowtie_mutect.vcf.secondbed.vcf.recode.vcf
189,189,done,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1hqT1veYtg3ANTeeLZwZ5M_q5tVWjoOMd?usp=sharing,GÜL EDA,658696.0,s028,3:52:38,vcf/TESTCASES_bedded/TestCase 189/snp_SRR7890851-SRR7890851bowtie-SRR7890850-SRR7890850bowtie_mutect.vcf.secondbed.vcf.recode.vcf
190,190,done,EA,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1p_KUXQ45r63XustQVssxiRg4vsq_LoJD?usp=share_link,GUL EDA,664679.0,s067,12:24:31,vcf/TESTCASES_bedded/TestCase 190/snp_SRR7890919-SRR7890919bowtie-SRR7890918-SRR7890918bowtie_mutect.vcf.secondbed.vcf.recode.vcf
191,191,done,LL,,Altay + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1Veqsl4fMGvV_tOuSaIpQOHcIIVfEgmGL?usp=share_link,GÜL EDA,29304.0,a057,03:51:21,vcf/TESTCASES_bedded/TestCase 191/snp_SRR7890851-SRR7890851bowtie-SRR7890850-SRR7890850bowtie_mutect.vcf.secondbed.vcf.recode.vcf
192,192,done,NC,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1XOhxZ9pvl8xDx4-TQ7RK2uTuNAK5QnzZ?usp=sharing,GÜL EDA,658818.0,s022,9:49:26,vcf/TESTCASES_bedded/TestCase 192/snp_SRR7890845-SRR7890845bowtie-SRR7890844-SRR7890844bowtie_mutect.vcf.secondbed.vcf.recode.vcf
195,195,done,LL,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1SjomkMU7UHuUNE9w9caPps2E08ORKXEK?usp=sharing,GÜL EDA,655629.0,s022,1:23:18,vcf/TESTCASES_bedded/TestCase 195/snp_SRR7890851_bwa2-SRR7890850_bwa2_strelka.vcf.secondbed.vcf.recode.vcf
196,196,done,EA,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1nos7SHfVgEmTXAVrxVgylT-L8mLKJ1Zk?usp=share_link,GUL EDA,664683.0,s023,03:11:37,vcf/TESTCASES_bedded/TestCase 196/snp_SRR7890919_bwa2-SRR7890918_bwa2_strelka.vcf.secondbed.vcf.recode.vcf
197,197,done,LL,,Altay + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1yHMuSdHkW8yIFq3tmt_-LUm1jzethL2R?usp=share_link,GÜL EDA,29193.0,a043,01:25:44,vcf/TESTCASES_bedded/TestCase 197/snp_SRR7890851_bwa2-SRR7890850_bwa2_strelka.vcf.secondbed.vcf.recode.vcf
198,198,done,NC,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1MfecbP1TbyFNVNSa1-L_v52h4NQPGffR?usp=sharing,GÜL EDA,655356.0,s023,2:42:53,vcf/TESTCASES_bedded/TestCase 198/snp_SRR7890845_bwa2-SRR7890844_bwa2_strelka.vcf.secondbed.vcf.recode.vcf
201,201,done,LL,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1aY3z3eGQJ5bYaW2Ce7a77VfLJiNR9_xf?usp=sharing,GÜL EDA,655629.0,s022,0:44:06,vcf/TESTCASES_bedded/TestCase 201/snp_SRR7890851-SRR7890851bwa2-SRR7890850-SRR7890850bwa2_strelka.vcf.secondbed.vcf.recode.vcf
202,202,done,EA,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1PuvIleO2C7ZXe6jh8XdUIglwEEnTrsnv?usp=share_link,GUL EDA,664683.0,s023,02:00:47,vcf/TESTCASES_bedded/TestCase 202/snp_SRR7890919-SRR7890919bwa2-SRR7890918-SRR7890918bwa2_strelka.vcf.secondbed.vcf.recode.vcf
203,203,done,LL,,Altay + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1ziSErxfmI8D5R2mEiQ-MxPLNSCQd96nQ?usp=share_link,GÜL EDA,29193.0,a043,00:41:23,vcf/TESTCASES_bedded/TestCase 203/snp_SRR7890851-SRR7890851bwa2-SRR7890850-SRR7890850bwa2_strelka.vcf.secondbed.vcf.recode.vcf
204,204,done,NC,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1tyGNUhbWOCgXB8vcxZQCmcB7ZVdjSTkL?usp=sharing,GÜL EDA,655595.0,f010,0:55:57,vcf/TESTCASES_bedded/TestCase 204/snp_SRR7890845-SRR7890845bwa2-SRR7890844-SRR7890844bwa2_strelka.vcf.secondbed.vcf.recode.vcf
207,207,done,LL,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1v8rfJ7LVl6kG_NaSn6OfR9CqLHbTgalw?usp=sharing,GÜL EDA,655629.0,s022,0:37:34,vcf/TESTCASES_bedded/TestCase 207/snp_SRR7890851_bwa2-SRR7890850_bwa2_strelka.vcf.secondbed.vcf.recode.vcf
208,208,done,EA,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,https://drive.google.com/drive/folders/1sjW7hxpo1q5cerSzEICGx8ygM3v6H5LY?usp=share_link,GUL EDA,664683.0,s023,01:59:32,vcf/TESTCASES_bedded/TestCase 208/snp_SRR7890919_bwa2-SRR7890918_bwa2_strelka.vcf.secondbed.vcf.recode.vcf
