run,region,n_called,n_truth,tp,precision,recall,f1
602,GRCh38_alldifficultregions,247,294,195,0.7894736842105263,0.6632653061224489,0.7208872458410351
602,GRCh38_alllowmapandsegdupregions,10,43,9,0.9,0.20930232558139536,0.339622641509434
602,GRCh38_notinalldifficultregions,839,867,659,0.7854588796185935,0.7600922722029988,0.7725674091441969
602,GRCh38_notinalllowmapandsegdupregions,1076,1118,845,0.7853159851301115,0.7558139534883721,0.7702825888787601
602,GRCh38_notinsegdups,1077,1123,845,0.7845868152274837,0.7524487978628673,0.7681818181818182
602,GRCh38_segdups,9,38,9,1.0,0.23684210526315788,0.38297872340425526
603,GRCh38_alldifficultregions,614,294,241,0.3925081433224756,0.8197278911564626,0.5308370044052864
603,GRCh38_alllowmapandsegdupregions,101,43,34,0.33663366336633666,0.7906976744186046,0.4722222222222223
603,GRCh38_notinalldifficultregions,1568,867,736,0.46938775510204084,0.8489042675893888,0.604517453798768
603,GRCh38_notinalllowmapandsegdupregions,2081,1118,943,0.45314752522825563,0.8434704830053668,0.5895592372616443
603,GRCh38_notinsegdups,2085,1123,947,0.4541966426858513,0.8432769367764915,0.5903990024937655
603,GRCh38_segdups,97,38,30,0.30927835051546393,0.7894736842105263,0.4444444444444445
604,GRCh38_alldifficultregions,210,294,176,0.8380952380952381,0.5986394557823129,0.6984126984126985
604,GRCh38_alllowmapandsegdupregions,26,43,22,0.8461538461538461,0.5116279069767442,0.6376811594202898
604,GRCh38_notinalldifficultregions,679,867,586,0.8630338733431517,0.6758938869665513,0.7580853816300129
604,GRCh38_notinalllowmapandsegdupregions,863,1118,740,0.8574739281575898,0.6618962432915921,0.7470974255426553
604,GRCh38_notinsegdups,866,1123,743,0.8579676674364896,0.661620658949243,0.7471091000502765
604,GRCh38_segdups,23,38,19,0.8260869565217391,0.5,0.6229508196721311
605,GRCh38_alldifficultregions,891,294,217,0.24354657687991021,0.7380952380952381,0.3662447257383966
605,GRCh38_alllowmapandsegdupregions,175,43,30,0.17142857142857143,0.6976744186046512,0.27522935779816515
605,GRCh38_notinalldifficultregions,1292,867,657,0.5085139318885449,0.7577854671280276,0.6086150995831403
605,GRCh38_notinalllowmapandsegdupregions,2008,1118,844,0.4203187250996016,0.7549194991055456,0.5399872040946897
605,GRCh38_notinsegdups,2014,1123,847,0.42055610724925524,0.7542297417631345,0.5400063755180109
605,GRCh38_segdups,169,38,27,0.15976331360946747,0.7105263157894737,0.2608695652173913
606,GRCh38_alldifficultregions,131,294,12,0.0916030534351145,0.04081632653061224,0.05647058823529411
606,GRCh38_alllowmapandsegdupregions,2,43,0,0.0,0.0,0.0
606,GRCh38_notinalldifficultregions,246,867,57,0.23170731707317074,0.0657439446366782,0.10242587601078167
606,GRCh38_notinalllowmapandsegdupregions,375,1118,69,0.184,0.061717352415026835,0.09243134628265237
606,GRCh38_notinsegdups,375,1123,69,0.184,0.06144256455921639,0.09212283044058746
606,GRCh38_segdups,2,38,0,0.0,0.0,0.0
607,GRCh38_alldifficultregions,360,294,231,0.6416666666666667,0.7857142857142857,0.7064220183486238
607,GRCh38_alllowmapandsegdupregions,62,43,30,0.4838709677419355,0.6976744186046512,0.5714285714285715
607,GRCh38_notinalldifficultregions,1040,867,711,0.6836538461538462,0.8200692041522492,0.7456738332459362
607,GRCh38_notinalllowmapandsegdupregions,1338,1118,912,0.6816143497757847,0.815742397137746,0.742671009771987
607,GRCh38_notinsegdups,1343,1123,916,0.6820551005212211,0.8156723063223509,0.7429034874290349
607,GRCh38_segdups,57,38,26,0.45614035087719296,0.6842105263157895,0.5473684210526316
608,GRCh38_alldifficultregions,247,294,195,0.7894736842105263,0.6632653061224489,0.7208872458410351
608,GRCh38_alllowmapandsegdupregions,10,43,9,0.9,0.20930232558139536,0.339622641509434
608,GRCh38_notinalldifficultregions,839,867,659,0.7854588796185935,0.7600922722029988,0.7725674091441969
608,GRCh38_notinalllowmapandsegdupregions,1076,1118,845,0.7853159851301115,0.7558139534883721,0.7702825888787601
608,GRCh38_notinsegdups,1077,1123,845,0.7845868152274837,0.7524487978628673,0.7681818181818182
608,GRCh38_segdups,9,38,9,1.0,0.23684210526315788,0.38297872340425526
609,GRCh38_alldifficultregions,614,294,241,0.3925081433224756,0.8197278911564626,0.5308370044052864
609,GRCh38_alllowmapandsegdupregions,101,43,34,0.33663366336633666,0.7906976744186046,0.4722222222222223
609,GRCh38_notinalldifficultregions,1568,867,736,0.46938775510204084,0.8489042675893888,0.604517453798768
609,GRCh38_notinalllowmapandsegdupregions,2081,1118,943,0.45314752522825563,0.8434704830053668,0.5895592372616443
609,GRCh38_notinsegdups,2085,1123,947,0.4541966426858513,0.8432769367764915,0.5903990024937655
609,GRCh38_segdups,97,38,30,0.30927835051546393,0.7894736842105263,0.4444444444444445
610,GRCh38_alldifficultregions,210,294,176,0.8380952380952381,0.5986394557823129,0.6984126984126985
610,GRCh38_alllowmapandsegdupregions,26,43,22,0.8461538461538461,0.5116279069767442,0.6376811594202898
610,GRCh38_notinalldifficultregions,679,867,586,0.8630338733431517,0.6758938869665513,0.7580853816300129
610,GRCh38_notinalllowmapandsegdupregions,863,1118,740,0.8574739281575898,0.6618962432915921,0.7470974255426553
610,GRCh38_notinsegdups,866,1123,743,0.8579676674364896,0.661620658949243,0.7471091000502765
610,GRCh38_segdups,23,38,19,0.8260869565217391,0.5,0.6229508196721311
611,GRCh38_alldifficultregions,891,294,217,0.24354657687991021,0.7380952380952381,0.3662447257383966
611,GRCh38_alllowmapandsegdupregions,175,43,30,0.17142857142857143,0.6976744186046512,0.27522935779816515
611,GRCh38_notinalldifficultregions,1292,867,657,0.5085139318885449,0.7577854671280276,0.6086150995831403
611,GRCh38_notinalllowmapandsegdupregions,2008,1118,844,0.4203187250996016,0.7549194991055456,0.5399872040946897
611,GRCh38_notinsegdups,2014,1123,847,0.42055610724925524,0.7542297417631345,0.5400063755180109
611,GRCh38_segdups,169,38,27,0.15976331360946747,0.7105263157894737,0.2608695652173913
612,GRCh38_alldifficultregions,131,294,12,0.0916030534351145,0.04081632653061224,0.05647058823529411
612,GRCh38_alllowmapandsegdupregions,2,43,0,0.0,0.0,0.0
612,GRCh38_notinalldifficultregions,246,867,57,0.23170731707317074,0.0657439446366782,0.10242587601078167
612,GRCh38_notinalllowmapandsegdupregions,375,1118,69,0.184,0.061717352415026835,0.09243134628265237
612,GRCh38_notinsegdups,375,1123,69,0.184,0.06144256455921639,0.09212283044058746
612,GRCh38_segdups,2,38,0,0.0,0.0,0.0
613,GRCh38_alldifficultregions,377,294,233,0.6180371352785146,0.7925170068027211,0.6944858420268256
613,GRCh38_alllowmapandsegdupregions,62,43,30,0.4838709677419355,0.6976744186046512,0.5714285714285715
613,GRCh38_notinalldifficultregions,1127,867,711,0.6308784383318545,0.8200692041522492,0.7131394182547643
613,GRCh38_notinalllowmapandsegdupregions,1442,1118,914,0.6338418862690708,0.817531305903399,0.7140624999999999
