run,TestCaseNo,VariantCaller,pass_filter_applied,records_read,records_kept,n_variants
732,732,SomaticSniper,False,1246,1246,1246
733,733,Mutect,True,2586,1139,1139
734,734,Mutect,True,2292,1078,1078
735,735,Strelka,True,93668,2050,2050
736,736,Strelka,True,81542,1209,1209
737,737,SomaticSniper,False,1562,1562,1562
738,738,SomaticSniper,False,1369,1369,1369
739,739,Mutect,True,2586,1139,1139
740,740,Mutect,True,2292,1078,1078
741,741,Strelka,True,93668,2050,2050
742,742,Strelka,True,81542,1209,1209
743,743,SomaticSniper,False,1562,1562,1562
744,744,SomaticSniper,False,1369,1369,1369
745,745,Mutect,True,2602,1131,1131
746,746,Mutect,True,2435,1086,1086
747,747,Strelka,True,77064,1757,1757
748,748,Strelka,True,52670,1045,1045
749,749,SomaticSniper,False,1456,1456,1456
750,750,SomaticSniper,False,697,697,697
751,751,Mutect,True,2602,1131,1131
752,752,Mutect,True,2435,1086,1086
753,753,Strelka,True,77064,1757,1757
754,754,Strelka,True,52670,1045,1045
755,755,SomaticSniper,False,1456,1456,1456
756,756,SomaticSniper,False,697,697,697
757,757,Mutect,True,2575,1138,1138
758,758,Mutect,True,2588,1084,1084
759,759,Strelka,True,94264,1989,1989
760,760,Strelka,True,71252,1103,1103
761,761,SomaticSniper,False,1516,1516,1516
762,762,SomaticSniper,False,787,787,787
763,763,Mutect,True,2575,1138,1138
764,764,Mutect,True,2588,1084,1084
765,765,Strelka,True,94264,1989,1989
766,766,Strelka,True,71252,1103,1103
767,767,SomaticSniper,False,1516,1516,1516
768,768,SomaticSniper,False,787,787,787
769,769,Mutect,True,2558,1128,1128
770,770,Mutect,True,5385,1125,1125
771,771,Mutect,True,5389,1125,1125
772,772,Mutect,True,2483,1132,1132
773,773,Mutect,True,2172,1054,1054
774,774,Mutect,True,5472,1043,1043
775,775,Mutect,True,5278,1051,1051
776,776,Mutect,True,2326,1039,1039
777,777,Strelka,True,58141,1711,1711
778,778,Strelka,True,107550,2561,2561
779,779,Strelka,True,105996,2601,2601
780,780,Strelka,True,57069,1625,1625
781,781,Strelka,True,44768,1153,1153
782,782,Strelka,True,75527,1136,1136
783,783,Strelka,True,84265,1199,1199
784,784,Strelka,True,42979,1076,1076
785,785,SomaticSniper,False,1469,1469,1469
786,786,SomaticSniper,False,1688,1688,1688
787,787,SomaticSniper,False,1671,1671,1671
788,788,SomaticSniper,False,1440,1440,1440
789,789,SomaticSniper,False,1081,1081,1081
790,790,SomaticSniper,False,832,832,832
791,791,SomaticSniper,False,1357,1357,1357
792,792,SomaticSniper,False,680,680,680
793,793,Mutect,True,2558,1128,1128
794,794,Mutect,True,5385,1125,1125
795,795,Mutect,True,5388,1125,1125
796,796,Mutect,True,2483,1132,1132
797,797,Mutect,True,2172,1054,1054
798,798,Mutect,True,5472,1043,1043
799,799,Mutect,True,5278,1051,1051
800,800,Mutect,True,2326,1039,1039
801,801,Strelka,True,58140,1711,1711
802,802,Strelka,True,107550,2561,2561
803,803,Strelka,True,105996,2601,2601
804,804,Strelka,True,57069,1625,1625
805,805,Strelka,True,44768,1153,1153
806,806,Strelka,True,75527,1136,1136
807,807,Strelka,True,84265,1199,1199
808,808,Strelka,True,42979,1076,1076
809,809,SomaticSniper,False,1469,1469,1469
810,810,SomaticSniper,False,1688,1688,1688
811,811,SomaticSniper,False,1671,1671,1671
812,812,SomaticSniper,False,1440,1440,1440
813,813,SomaticSniper,False,1081,1081,1081
814,814,SomaticSniper,False,832,832,832
815,815,SomaticSniper,False,1357,1357,1357
816,816,SomaticSniper,False,680,680,680
817,817,Mutect,True,2558,1128,1128
818,818,Mutect,True,5385,1125,1125
819,819,Mutect,True,5391,1125,1125
820,820,Mutect,True,2483,1132,1132
821,821,Mutect,True,2172,1054,1054
822,822,Mutect,True,5472,1043,1043
823,823,Mutect,True,5278,1051,1051
824,824,Mutect,True,2326,1039,1039
825,825,Strelka,True,58140,1711,1711
826,826,Strelka,True,107550,2561,2561
827,827,Strelka,True,105996,2601,2601
828,828,Strelka,True,57069,1625,1625
829,829,Strelka,True,44768,1153,1153
830,830,Strelka,True,75527,1136,1136
831,831,Strelka,True,84265,1199,1199
832,832,Strelka,True,42979,1076,1076
833,833,SomaticSniper,False,1468,1468,1468
834,834,SomaticSniper,False,1688,1688,1688
835,835,SomaticSniper,False,1671,1671,1671
836,836,SomaticSniper,False,1440,1440,1440
837,837,SomaticSniper,False,1081,1081,1081
838,838,SomaticSniper,False,832,832,832
839,839,SomaticSniper,False,1357,1357,1357
840,840,SomaticSniper,False,680,680,680
841,841,Mutect,True,2558,1128,1128
842,842,Mutect,True,5385,1125,1125
843,843,Mutect,True,5388,1125,1125
844,844,Mutect,True,2483,1132,1132
845,845,Mutect,True,2172,1054,1054
846,846,Mutect,True,5472,1043,1043
847,847,Mutect,True,5278,1051,1051
848,848,Mutect,True,2326,1039,1039
849,849,Strelka,True,58140,1711,1711
850,850,Strelka,True,107550,2561,2561
851,851,Strelka,True,105997,2601,2601
852,852,Strelka,True,57069,1625,1625
853,853,Strelka,True,44768,1153,1153
