n,size_ge,tp_ge,precision_ge,recall_ge,f1_ge,size_eq,tp_eq,precision_eq,recall_eq,f1_eq
88,788,788,1.0,0.6787252368647717,0.8086198050282195,11,11,1.0,0.009474590869939707,0.01877133105802048
89,777,777,1.0,0.6692506459948321,0.8018575851393188,0,0,,0.0,
90,777,777,1.0,0.6692506459948321,0.8018575851393188,15,15,1.0,0.012919896640826873,0.025510204081632654
91,762,762,1.0,0.6563307493540051,0.7925117004680187,4,4,1.0,0.0034453057708871662,0.0068669527896995704
92,758,758,1.0,0.652885443583118,0.7899947889525795,13,13,1.0,0.01119724375538329,0.022146507666098804
93,745,745,1.0,0.6416881998277347,0.7817418677859392,0,0,,0.0,
94,745,745,1.0,0.6416881998277347,0.7817418677859392,14,14,1.0,0.012058570198105082,0.023829787234042554
95,731,731,1.0,0.6296296296296297,0.7727272727272727,1,1,1.0,0.0008613264427217916,0.0017211703958691911
96,730,730,1.0,0.6287683031869078,0.7720782654680063,9,9,1.0,0.007751937984496124,0.015384615384615384
97,721,721,1.0,0.6210163652024118,0.7662061636556854,2,2,1.0,0.0017226528854435831,0.003439380911435942
98,719,719,1.0,0.6192937123169682,0.7648936170212767,9,9,1.0,0.007751937984496124,0.015384615384615384
99,710,710,1.0,0.611541774332472,0.7589524318546232,4,4,1.0,0.0034453057708871662,0.0068669527896995704
100,706,706,1.0,0.6080964685615848,0.7562935190144617,18,18,1.0,0.015503875968992248,0.030534351145038167
101,688,688,1.0,0.5925925925925926,0.7441860465116279,6,6,1.0,0.00516795865633075,0.010282776349614397
102,682,682,1.0,0.5874246339362619,0.7400976668475312,17,17,1.0,0.014642549526270457,0.028862478777589132
103,665,665,1.0,0.5727820844099913,0.728368017524644,2,2,1.0,0.0017226528854435831,0.003439380911435942
104,663,663,1.0,0.5710594315245479,0.7269736842105263,17,17,1.0,0.014642549526270457,0.028862478777589132
105,646,646,1.0,0.5564168819982773,0.7149972329828445,9,9,1.0,0.007751937984496124,0.015384615384615384
106,637,637,1.0,0.5486649440137812,0.7085650723025584,11,11,1.0,0.009474590869939707,0.01877133105802048
107,626,626,1.0,0.5391903531438416,0.7006155567991047,7,7,1.0,0.006029285099052541,0.011986301369863013
108,619,619,1.0,0.533161068044789,0.6955056179775281,24,24,1.0,0.020671834625323,0.04050632911392405
109,595,595,1.0,0.512489233419466,0.6776765375854213,9,9,1.0,0.007751937984496124,0.015384615384615384
110,586,586,1.0,0.5047372954349698,0.6708643388666284,64,64,1.0,0.05512489233419466,0.10448979591836734
111,522,522,1.0,0.4496124031007752,0.6203208556149733,10,10,1.0,0.008613264427217916,0.01707941929974381
112,512,512,1.0,0.4409991386735573,0.612074118350269,143,143,1.0,0.1231696813092162,0.21932515337423314
113,369,369,1.0,0.3178294573643411,0.48235294117647054,11,11,1.0,0.009474590869939707,0.01877133105802048
114,358,358,1.0,0.30835486649440136,0.4713627386438446,176,176,1.0,0.1515934539190353,0.26327599102468213
115,182,182,1.0,0.15676141257536608,0.27103499627699185,7,7,1.0,0.006029285099052541,0.011986301369863013
116,175,175,1.0,0.1507321274763135,0.2619760479041916,135,135,1.0,0.11627906976744186,0.20833333333333334
117,40,40,1.0,0.034453057708871665,0.06661115736885928,0,0,,0.0,
118,40,40,1.0,0.034453057708871665,0.06661115736885928,36,36,1.0,0.031007751937984496,0.06015037593984962
119,4,4,1.0,0.0034453057708871662,0.0068669527896995704,0,0,,0.0,
120,4,4,1.0,0.0034453057708871662,0.0068669527896995704,4,4,1.0,0.0034453057708871662,0.0068669527896995704
