TestCaseNo,phase,Sample,operatingSystem,HOW,isTrimmed,baseRecalibration,Mapper,M_Version,Variant Caller,VC_Version,ReferenceGenom,Duplicates,Variant Filter,FilterPass,SOMATICfilter,remove_indels,Sort,File Link,Result VCF Count,Kim yaptı :),Slurm_id,Donanım,ElapsedTime
TestCase 62,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/15VRG0zszZMMAIGL_xQs1KaZDEVJSMBUx?usp=share_link,,GUL EDA,29813,a063,02:00:07
TestCase 63,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 64,notReady,LL,MAC,Local,YES,NO,BWA,,Strelka,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 65,notReady,LL,,Altay + COSAP,YES,NO,BWA,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 66,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 67,notReady,LL,Linux,Local,NO,YES,BWA,,Strelka,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 68,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1zmPBirxM8-5lCzr8op6O_jMSKHbVa0WX?usp=share_link,,GUL EDA,29813,a063,03:23:03
TestCase 69,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 70,notReady,LL,MAC,Local,NO,YES,BWA,,Strelka,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 71,notReady,LL,,Altay + COSAP,NO,YES,BWA,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 72,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 73,notReady,LL,Linux,Local,YES,YES,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 74,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1du0tSwKEvX-OJGSmb10NVjeSd6nZlYoS?usp=share_link,,GUL EDA,29810,a076,04:14:42
TestCase 75,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 76,notReady,LL,MAC,Local,YES,YES,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 77,notReady,LL,,Altay + COSAP,YES,YES,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 78,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 79,notReady,LL,Linux,Local,NO,NO,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 80,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/14i1KXkyuAFQC_vSfzDfXwI9V3DSd3EcP?usp=share_link,,GUL EDA,29810,a076,02:19:51
TestCase 81,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 82,notReady,LL,MAC,Local,NO,NO,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 83,notReady,LL,,Altay + COSAP,NO,NO,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 84,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 85,notReady,LL,Linux,Local,YES,NO,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 86,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1X1OvI85JdMUE9OKO3eqy33ZcqztXDglP?usp=share_link,,GUL EDA,29810,a076,02:29:00
TestCase 87,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 88,notReady,LL,MAC,Local,YES,NO,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 89,notReady,LL,,Altay + COSAP,YES,NO,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 90,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 91,notReady,LL,Linux,Local,NO,YES,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 92,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/18UgGLTMly_ck00MAYK6ZJ0xGRVhecGLA?usp=share_link,,GUL EDA,29810,a076,03:57:32
TestCase 93,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 94,notReady,LL,MAC,Local,NO,YES,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 95,notReady,LL,,Altay + COSAP,NO,YES,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 96,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 97,notReady,LL,Linux,Local,YES,YES,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 98,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1gSBVQkJiWYWyylBvYCvAAMQNOEUNjBkx?usp=share_link,,GUL EDA,29814,a041,03:56:22
TestCase 99,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
