IDs,phase,Sample,HOW,isTrimmed,baseRecalibration,Mapper,Variant Caller,Duplicates,File Link,Result VCF Count,Kim yaptı :),Notes:
TestCase 38,,LL,Altay + COSAP,yes,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/12S7s5Qd5FY_MRkSBuOFyPGDm3aQI2xc7?usp=sharing,,Gül Eda,
TestCase 39,,LL,Altay + COSAP,yes,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1EzhbwbHPzGNdPrE49ySXaEsWuTFu_ut_?usp=sharing,,Gül Eda,
TestCase 40,,LL,Altay + COSAP,yes,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/132a_whKh_-wFuECIr0sqQsJnbyIxUWDz?usp=sharing,,Gül Eda,
TestCase 41,,LL,Altay + COSAP,no,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1O5jzF1CKgQWGhEn7dTVGkhKYpsZH9_mq?usp=sharing,,Gül Eda,
TestCase 42,,LL,Altay + COSAP,no,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/18owKI7Dc0-Y4TrPpPDjzhGhETXtgN-m3?usp=sharing,,Gül Eda,
TestCase 43,,LL,Altay + COSAP,no,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1s6EQUJHDaA7UpOvN3pLDn8cyuEMt8rDf?usp=sharing,,Gül Eda,
TestCase 44,,LL,Altay + COSAP,no,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1GHBcy2QTCuEuKxKMMmAs8K2M2aBgswgR?usp=sharing,,Gül Eda,
TestCase 45,,LL,Altay + COSAP,no,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1nRRsNPIuIm8ZBmGkPmImPY20ENWWSLsx?usp=sharing,,Gül Eda,
TestCase 46,,LL,Altay + COSAP,no,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1WYje1Uenz5qE1L5RHsshyP6IgJnMvpKs?usp=sharing,,Gül Eda,
TestCase 47,,LL,Altay + COSAP,no,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1hNDJdGv-wsGHysLRw6RQYM4KkPM8h0bO?usp=sharing,,Gül Eda,
TestCase 48,,LL,Altay + COSAP,no,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/12E9uBJYCocN5PPY5dDq1J6yS7FuNi6PX?usp=sharing,,Gül Eda,
TestCase 49,,LL,Altay + COSAP,yes,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1u5dm1Pl8YJygGBJe5ftOf8_io_p7UqB-?usp=sharing,,Gül Eda,
TestCase 50,,LL,Altay + COSAP,yes,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1knWJdfjs_cN4MeV-B2qVTTSrxTDD2-X0?usp=sharing,,Gül Eda,
TestCase 51,,LL,Altay + COSAP,yes,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1aX2wYSJXu4Z7sSkHiKUuCWEdBMFkdNp4?usp=sharing,,Gül Eda,
TestCase 52,,LL,Altay + COSAP,yes,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1QI_QXEAIuchndwnZO3ns5a-wfXS2cr6s?usp=sharing,,Gül Eda,
TestCase 53,,LL,Altay + COSAP,yes,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1uVPSi_yO6FxbAYXkvnw4AJ-WxqvD6CmF?usp=sharing,,Gül Eda,
TestCase 54,,LL,Altay + COSAP,yes,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1vXMU_C8dFVg06FD75X6fWhvnBzJoBjUi?usp=sharing,,Gül Eda,
TestCase 55,,LL,Altay + COSAP,yes,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1dgER1LqxPbKhX18PsFT9KWJSaop7NTck?usp=sharing,,Gül Eda,
TestCase 56,,LL,Altay + COSAP,yes,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/175x_wuCyd4qlT7LpA3EmiXRU7grnDvMW?usp=sharing,,Gül Eda,
TestCase 57,,LL,Altay + COSAP,no,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/17HOmhzH0_Ds8eP3KoOvGcnd9k062orKZ?usp=sharing,,Gül Eda,
TestCase 58,,LL,Altay + COSAP,no,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/153eNhDGYURAgpQcrtIP7QkzqrmqA1vPM?usp=sharing,,Gül Eda,
TestCase 59,,LL,Altay + COSAP,no,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/15LbMmecsLPL9iPDnNfjWrB_C46sc9Zcg?usp=sharing,,Gül Eda,
TestCase 60,,LL,Altay + COSAP,no,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1oNvkSajZvM-ts5g5uD9ALi7XMREOg1zk?usp=sharing,,Gül Eda,
TestCase 61,,LL,Altay + COSAP,no,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1z2nCTrO_3ifsmwIWM6Qighcqe0OLHLMG?usp=sharing,,Gül Eda,
TestCase 62,,LL,Altay + COSAP,no,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1BM0TeMQQilPY9_V_8sPrT2sZan6lm0rF?usp=sharing,,Gül Eda,
TestCase 63,,LL,Altay + COSAP,no,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1_6Z4h5elKV6S6az7UN6BgmSLQtUYQmhD?usp=sharing,,Gül Eda,
TestCase 64,,LL,Altay + COSAP,no,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1o4RUr_o-_GqCTdf-CYjBtWGPcbZbGNRM?usp=sharing,,Gül Eda,
TestCase 65,,IL,Uhem + COSAP,yes,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/193-cByMbpUGOOjogYSf9afyp3eNEq5zx?usp=sharing,,Gül Eda,
TestCase 66,,IL,Uhem + COSAP,yes,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1Wemx_4CNTcdM7Oj1CMRJmoLDUoaPRr7f?usp=sharing,,Gül Eda,
TestCase 67,,IL,Uhem + COSAP,yes,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/16K3XPM-OUahEduealRKa3tLw4Qgf3UuC?usp=sharing,,Gül Eda,
TestCase 68,,IL,Uhem + COSAP,yes,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1xn9bwmCVK48_rurcAGiiMj0EFEwgCCfO?usp=sharing,,Gül Eda,
