IDs,phase,Sample,HOW,isTrimmed,baseRecalibration,Mapper,Variant Caller,Duplicates,File Link,Result VCF Count,Kim yaptı :),Notes:
TestCase 264,done,FD,Uhem + COSAP,yes,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1DReBiKEVj4GwvOMokoo4cxLH-eeaxAPW?usp=sharing,,Gül Eda,
TestCase 265,done,FD,Uhem + COSAP,no,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1uemhHFwv8Rla7gUUygxhVY7ESaFuZ26u?usp=sharing,,Gül Eda,
TestCase 266,done,FD,Uhem + COSAP,no,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1JD8PpReUC7wJXxXfmXDUpTaamQSbTloz?usp=sharing,,Gül Eda,
TestCase 267,done,FD,Uhem + COSAP,no,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1O1usCBOw27XRtOpSRw5CslHCemNcGw1p?usp=sharing,,Gül Eda,
TestCase 268,done,FD,Uhem + COSAP,no,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1xHfjqkTC_TbPTR-7gB1aBXwO-RgsluWb?usp=sharing,,Gül Eda,
TestCase 269,done,FD,Uhem + COSAP,no,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1r0_OABaI57IKtBN4bdqQeoDPDAyi91N2?usp=sharing,,Gül Eda,
TestCase 270,done,FD,Uhem + COSAP,no,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1gGefwrFXOg1R4h10G8xTTQgObkHA8GaS?usp=sharing,,Gül Eda,
TestCase 271,done,FD,Uhem + COSAP,no,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1d12P-Dh6o5TqvwwY3K1haGRBIxhwW4yp?usp=sharing,,Gül Eda,
TestCase 272,done,FD,Uhem + COSAP,no,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1V1Bbbw-YtKaJO0vQaauDRRHQ1TMIDsMW?usp=sharing,,Gül Eda,
TestCase 273,done,FD,Uhem + COSAP,yes,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1Z3OceQj4AYnDtnDRH-k-4GZrixOIJWmL?usp=sharing,,Gül Eda,
TestCase 274,done,FD,Uhem + COSAP,yes,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/185A-jU_up_5VHmhPqEK__6BThskMNuid?usp=sharing,,Gül Eda,
TestCase 275,done,FD,Uhem + COSAP,yes,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1I8UxcaFeLnRbke4vsf3bJ_N2e-MkjhRA?usp=sharing,,Gül Eda,
TestCase 276,done,FD,Uhem + COSAP,yes,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1JT99ibEP-uDm2IpZotpkE38xw1YKwqRw?usp=sharing,,Gül Eda,
TestCase 277,done,FD,Uhem + COSAP,yes,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1RzROlUYZNYDu3oIOOrNRlInDmov3AQiA?usp=sharing,,Gül Eda,
TestCase 278,done,FD,Uhem + COSAP,yes,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1HFY43CVXnlXIpXD-Uyibt1lPBgU0s3mV?usp=sharing,,Gül Eda,
TestCase 279,done,FD,Uhem + COSAP,yes,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1QM4YsNF_b57Fpo4V17BjxAnhq_uFP_Vw?usp=sharing,,Gül Eda,
TestCase 280,done,FD,Uhem + COSAP,yes,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1QUijVXihUR3VwKTXzZz-xTi-swn3k07V?usp=sharing,,Gül Eda,
TestCase 281,done,FD,Uhem + COSAP,no,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1UNQo10iTUkHo--j7urs_06b7vq2nly5A?usp=sharing,,Gül Eda,
TestCase 282,done,FD,Uhem + COSAP,no,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1lubKlDpyHo_JlZHPB7a7hamXWM378NrX?usp=sharing,,Gül Eda,
TestCase 283,done,FD,Uhem + COSAP,no,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1Ayji1rxMW0conMStHtPjQPFWMPic3c0s?usp=sharing,,Gül Eda,
TestCase 284,done,FD,Uhem + COSAP,no,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/14CnyYkcYzueuKZIPy5EMb359y57ichH9?usp=sharing,,Gül Eda,
TestCase 285,done,FD,Uhem + COSAP,no,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1jQE5xAKHbLOkWCljK-zbmjjmdkt3LSkC?usp=sharing,,Gül Eda,
TestCase 286,done,FD,Uhem + COSAP,no,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1WSOIfNp1m-1bBGOwVb7c3hPcuIPUlnNm?usp=sharing,,Gül Eda,
TestCase 287,done,FD,Uhem + COSAP,no,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1jxwyYBBquOBC1QDhL3nF6lsuum7PE_fS?usp=sharing,,Gül Eda,
TestCase 288,done,FD,Uhem + COSAP,no,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1xGn-tdCwVevANV20aQL2nQqWt9QUeBPA?usp=sharing,,Gül Eda,
TestCase 289,done,FD,Altay + COSAP,yes,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1ltmsVG_bTePj-QMzoXoFJPbjx1AhLqA7?usp=sharing,,Gül Eda,
TestCase 290,done,FD,Altay + COSAP,yes,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1DHIR497u5cRq8tHLwYScwOj0TdysSy6t?usp=sharing,,Gül Eda,
TestCase 291,done,FD,Altay + COSAP,yes,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1sIBKi5JRJ3LH9WoxAn1O4ipvm1GoY3dI?usp=sharing,,Gül Eda,
TestCase 292,done,FD,Altay + COSAP,yes,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1eB0mmoXHUUZl7lxwP30g0DCfHboyfRh_?usp=sharing,,Gül Eda,
TestCase 293,done,FD,Altay + COSAP,yes,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/18jFqf36_PvcNvUp73Un00ovIXZR5WqH7?usp=sharing,,Gül Eda,
TestCase 294,done,FD,Altay + COSAP,yes,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1gRzsjyIIrU7WFAva-hKkZrzOfXxKjZZa?usp=sharing,,Gül Eda,
TestCase 295,done,FD,Altay + COSAP,yes,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1qnoQjfSzQNiQzUmJCAaGD81QNJ6KiIL3?usp=sharing,,Gül Eda,
TestCase 296,done,FD,Altay + COSAP,yes,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1AyNIc978NsnuHYFbuXougToBxGQarurG?usp=sharing,,Gül Eda,
TestCase 297,done,FD,Altay + COSAP,no,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/17TOU9bKuJShhVMPcAZm-gj7Ft2fCkxoL?usp=sharing,,Gül Eda,
TestCase 298,done,FD,Altay + COSAP,no,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1vOPVGHSvh8SVWE-iOwNc7DXBVyHVN9_R?usp=sharing,,Gül Eda,
TestCase 299,done,FD,Altay + COSAP,no,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/18h_nzf5hhJiONq_8DChhoTxGtjFY0mBt?usp=sharing,,Gül Eda,
TestCase 300,done,FD,Altay + COSAP,no,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1336rQpxIMzbF8xw0aoYuUNaqJq3P8Yv2?usp=sharing,,Gül Eda,
TestCase 301,done,FD,Altay + COSAP,no,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1CJ-Gf12tPSpyaqTaVHn7fmwrmm6g0lNe?usp=sharing,,Gül Eda,
TestCase 302,done,FD,Altay + COSAP,no,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/19-stdmeXtMxh0APY-ko6B2yDJn_yjikT?usp=sharing,,Gül Eda,
TestCase 303,done,FD,Altay + COSAP,no,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1Ebda_gLF46_fOWrZtP0OaETWOePg0E7F?usp=sharing,,Gül Eda,
TestCase 304,done,FD,Altay + COSAP,no,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1B_0RhBYEAD7h5wOlGevEnxhtLhFXAVHf?usp=sharing,,Gül Eda,
TestCase 305,done,FD,Altay + COSAP,yes,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1ea-OuiiUK-uELVJVcdgLkxu64uDLfHho?usp=sharing,,Gül Eda,
TestCase 306,done,FD,Altay + COSAP,yes,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1QAWacB0E_3ndNJ_R8LrZluELHvGqXxB2?usp=sharing,,Gül Eda,
TestCase 307,done,FD,Altay + COSAP,yes,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1Ja3Fqfc2QVmVvVcAtgsqI2oKFWAbdFhe?usp=sharing,,Gül Eda,
TestCase 308,done,FD,Altay + COSAP,yes,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1muo4tHmSOlcG-lnjUhe-6qR73_dF_-cl?usp=sharing,,Gül Eda,
TestCase 309,done,FD,Altay + COSAP,yes,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1Xf1NNdxhN5oTuzvhG-b2mk5TxzzoCI2p?usp=sharing,,Gül Eda,
TestCase 310,done,FD,Altay + COSAP,yes,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1mnCDCqRXMvaNmJVZNawo0Tp17bMSX6vW?usp=sharing,,Gül Eda,
TestCase 311,done,FD,Altay + COSAP,yes,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1rsAl1qgrqEwS8eun4Fk7ePIc6I3AfFb8?usp=sharing,,Gül Eda,
TestCase 312,done,FD,Altay + COSAP,yes,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/16-CrcbIy_icB2VCLCmP_lB1sYDbPFDjS?usp=sharing,,Gül Eda,
TestCase 313,done,FD,Altay + COSAP,no,yes,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1BJxzexmD1XM_CRPPEzbN-LzLVPIUuWmx?usp=sharing,,Gül Eda,
TestCase 314,done,FD,Altay + COSAP,no,yes,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1lOXSmIFp3ukY7_GYZcSNHIDBO3jPwCf6?usp=sharing,,Gül Eda,
TestCase 315,done,FD,Altay + COSAP,no,yes,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1vZpSlOqPuoHIJ02pDOCaEDUcljmS26Vz?usp=sharing,,Gül Eda,
TestCase 316,done,FD,Altay + COSAP,no,yes,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1UQyb0UpRQsLLSk7gDoQNrha6_tcGKbcc?usp=sharing,,Gül Eda,
TestCase 317,done,FD,Altay + COSAP,no,no,BWA,Mutect,DELETE,https://drive.google.com/drive/folders/1aGTwFya0eKw6-B_UJQFvvI9iGmMO2EIt?usp=sharing,,Gül Eda,
TestCase 318,done,FD,Altay + COSAP,no,no,BWA,Strelka,DELETE,https://drive.google.com/drive/folders/1nsbgAM8_iuxq5U_bAZpiQB7KCRKgUZvF?usp=sharing,,Gül Eda,
TestCase 319,done,FD,Altay + COSAP,no,no,Bowtie,Mutect,DELETE,https://drive.google.com/drive/folders/1zJ9hOjrxoV0kVyD3e6bKda9raKWLSuu6?usp=sharing,,Gül Eda,
TestCase 320,done,FD,Altay + COSAP,no,no,Bowtie,Strelka,DELETE,https://drive.google.com/drive/folders/1ZBm1v26V_wc0cWXQkLlYhntJa3YarFFs?usp=sharing,,Gül Eda,
