run,TestCaseNo,region,filter,n_input,n_kept,iou,precision,recall,f1
585,585,GRCh38_notinsegdups,legacy,2209,2209,0.4082741328875888,0.4422815753734722,0.8415159345391904,0.5798219584569733
585,585,GRCh38_segdups,corrected,2209,94,0.024489795918367346,0.3191489361702128,0.025839793281653745,0.04780876494023904
585,585,GRCh38_segdups,legacy,2209,1336,0.2984919396775871,0.4296407185628742,0.49440137812230833,0.4597517020424509
586,586,GRCh38_alldifficultregions,corrected,1242,330,0.16575449569976544,0.6424242424242425,0.1826012058570198,0.28437290409121396
586,586,GRCh38_alldifficultregions,legacy,1242,1153,0.5478260869565217,0.7103209019947961,0.7054263565891473,0.7078651685393259
586,586,GRCh38_alllowmapandsegdupregions,corrected,1242,37,0.02480752780153978,0.7837837837837838,0.024978466838931956,0.04841402337228715
586,586,GRCh38_alllowmapandsegdupregions,legacy,1242,947,0.4588235294117647,0.7001055966209081,0.5710594315245479,0.6290322580645161
586,586,GRCh38_notinalldifficultregions,corrected,1242,912,0.49029475197699496,0.7478070175438597,0.5874246339362619,0.6579835986493006
586,586,GRCh38_notinalldifficultregions,legacy,1242,1238,0.5897945659377071,0.7189014539579968,0.7665805340223945,0.7419758232596915
586,586,GRCh38_notinalllowmapandsegdupregions,corrected,1242,1205,0.5762824783477681,0.7178423236514523,0.7450473729543498,0.7311918850380389
586,586,GRCh38_notinalllowmapandsegdupregions,legacy,1242,1242,0.5924453280318092,0.7198067632850241,0.7700258397932817,0.7440699126092384
586,586,GRCh38_notinsegdups,corrected,1242,1209,0.5778961384820239,0.717948717948718,0.7476313522825151,0.7324894514767933
586,586,GRCh38_notinsegdups,legacy,1242,1242,0.5924453280318092,0.7198067632850241,0.7700258397932817,0.7440699126092384
586,586,GRCh38_segdups,corrected,1242,33,0.02226027397260274,0.7878787878787878,0.02239448751076658,0.04355108877721943
586,586,GRCh38_segdups,legacy,1242,748,0.38233164373642287,0.7058823529411765,0.45478036175710596,0.5531691985332636
587,587,GRCh38_alldifficultregions,corrected,2227,924,0.11676486341724691,0.23593073593073594,0.18776916451335057,0.20911270983213429
587,587,GRCh38_alldifficultregions,legacy,2227,2076,0.3266393442622951,0.38391136801541426,0.6864771748492678,0.4924312635156009
587,587,GRCh38_alllowmapandsegdupregions,corrected,2227,178,0.02291825821237586,0.16853932584269662,0.025839793281653745,0.04480955937266617
