run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Node,ElapsedTime,elapsed_seconds
447,LL,Uhem + COSAP,YES,NO,BWA,Mutect,DELETE,s046,2:26:31,8791
448,EA,Uhem + COSAP,YES,NO,BWA,Mutect,DELETE,s063,06:59:08,25148
449,LL,Altay + COSAP,YES,NO,BWA,Mutect,DELETE,a081,02:30:55,9055
450,NC,Uhem + COSAP,YES,NO,BWA,Mutect,DELETE,s012,6:32:11,23531
453,LL,Uhem + COSAP,NO,YES,BWA,Mutect,DELETE,s046,3:27:06,12426
454,EA,Uhem + COSAP,NO,YES,BWA,Mutect,DELETE,s063,09:42:07,34927
455,LL,Altay + COSAP,NO,YES,BWA,Mutect,DELETE,a081,03:35:02,12902
456,NC,Uhem + COSAP,NO,YES,BWA,Mutect,DELETE,s012,9:02:31,32551
459,LL,Uhem + COSAP,YES,YES,BOWTIE,Mutect,DELETE,s042,3:04:35,11075
460,EA,Uhem + COSAP,YES,YES,BOWTIE,Mutect,DELETE,s066,09:17:06,33426
461,LL,Altay + COSAP,YES,YES,BOWTIE,Mutect,DELETE,a076,02:52:52,10372
462,NC,Uhem + COSAP,YES,YES,BOWTIE,Mutect,DELETE,s022,7:12:41,25961
465,LL,Uhem + COSAP,NO,NO,BOWTIE,Mutect,DELETE,s042,4:13:58,15238
466,EA,Uhem + COSAP,NO,NO,BOWTIE,Mutect,DELETE,s066,12:07:36,43656
467,LL,Altay + COSAP,NO,NO,BOWTIE,Mutect,DELETE,a076,03:52:28,13948
468,NC,Uhem + COSAP,NO,NO,BOWTIE,Mutect,DELETE,s022,10:58:56,39536
471,LL,Uhem + COSAP,YES,NO,BOWTIE,Mutect,DELETE,s042,2:42:15,9735
472,EA,Uhem + COSAP,YES,NO,BOWTIE,Mutect,DELETE,s066,07:15:09,26109
473,LL,Altay + COSAP,YES,NO,BOWTIE,Mutect,DELETE,a076,02:29:26,8966
474,NC,Uhem + COSAP,YES,NO,BOWTIE,Mutect,DELETE,s022,6:05:45,21945
477,LL,Uhem + COSAP,NO,YES,BOWTIE,Mutect,DELETE,s042,4:09:33,14973
478,EA,Uhem + COSAP,NO,YES,BOWTIE,Mutect,DELETE,s066,12:44:01,45841
479,LL,Altay + COSAP,NO,YES,BOWTIE,Mutect,DELETE,a076,03:44:02,13442
480,NC,Uhem + COSAP,NO,YES,BOWTIE,Mutect,DELETE,s022,9:48:41,35321
483,LL,Uhem + COSAP,YES,YES,BWA,Strelka,DELETE,s037,1:16:45,4605
484,EA,Uhem + COSAP,YES,YES,BWA,Strelka,DELETE,s064,03:44:14,13454
485,LL,Altay + COSAP,YES,YES,BWA,Strelka,DELETE,a084,01:23:36,5016
486,NC,Uhem + COSAP,YES,YES,BWA,Strelka,DELETE,s021,2:16:45,8205
489,LL,Uhem + COSAP,NO,NO,BWA,Strelka,DELETE,s037,0:42:25,2545
490,EA,Uhem + COSAP,NO,NO,BWA,Strelka,DELETE,s064,01:37:40,5860
491,LL,Altay + COSAP,NO,NO,BWA,Strelka,DELETE,a084,00:37:57,2277
492,NC,Uhem + COSAP,NO,NO,BWA,Strelka,DELETE,s021,0:58:05,3485
495,LL,Uhem + COSAP,YES,NO,BWA,Strelka,DELETE,s037,0:34:45,2085
496,EA,Uhem + COSAP,YES,NO,BWA,Strelka,DELETE,s064,01:44:11,6251
497,LL,Altay + COSAP,YES,NO,BWA,Strelka,DELETE,a084,00:45:14,2714
498,NC,Uhem + COSAP,YES,NO,BWA,Strelka,DELETE,s021,1:02:33,3753
501,LL,Uhem + COSAP,NO,YES,BWA,Strelka,DELETE,s037,1:14:50,4490
502,EA,Uhem + COSAP,NO,YES,BWA,Strelka,DELETE,s064,03:42:07,13327
503,LL,Altay + COSAP,NO,YES,BWA,Strelka,DELETE,a084,01:21:16,4876
504,NC,Uhem + COSAP,NO,YES,BWA,Strelka,DELETE,s021,2:25:58,8758
507,LL,Uhem + COSAP,YES,YES,BOWTIE,Strelka,DELETE,s037,1:30:59,5459
508,EA,Uhem + COSAP,YES,YES,BOWTIE,Strelka,DELETE,s014,04:17:18,15438
509,LL,Altay + COSAP,YES,YES,BOWTIE,Strelka,DELETE,a049,01:35:41,5741
510,NC,Uhem + COSAP,YES,YES,BOWTIE,Strelka,DELETE,s021,2:40:22,9622
513,LL,Uhem + COSAP,NO,NO,BOWTIE,Strelka,DELETE,s037,0:45:46,2746
514,EA,Uhem + COSAP,NO,NO,BOWTIE,Strelka,DELETE,s067,02:16:57,8217
515,LL,Altay + COSAP,NO,NO,BOWTIE,Strelka,DELETE,a049,00:46:22,2782
516,NC,Uhem + COSAP,NO,NO,BOWTIE,Strelka,DELETE,s021,1:15:25,4525
519,LL,Uhem + COSAP,YES,NO,BOWTIE,Strelka,DELETE,s037,0:47:53,2873
520,EA,Uhem + COSAP,YES,NO,BOWTIE,Strelka,DELETE,s067,02:24:03,8643
521,LL,Altay + COSAP,YES,NO,BOWTIE,Strelka,DELETE,a049,00:54:20,3260
522,NC,Uhem + COSAP,YES,NO,BOWTIE,Strelka,DELETE,s021,1:18:18,4698
525,LL,Uhem + COSAP,NO,YES,BOWTIE,Strelka,DELETE,s037,1:24:15,5055
526,EA,Uhem + COSAP,NO,YES,BOWTIE,Strelka,DELETE,s067,04:29:30,16170
527,LL,Altay + COSAP,NO,YES,BOWTIE,Strelka,DELETE,a049,01:26:31,5191
528,NC,Uhem + COSAP,NO,YES,BOWTIE,Strelka,DELETE,s021,2:37:41,9461
531,LL,Uhem + COSAP,YES,YES,BWA,SomaticSniper,DELETE,s045,1:31:18,5478
532,EA,Uhem + COSAP,YES,YES,BWA,SomaticSniper,DELETE,s065,04:14:17,15257
533,LL,Altay + COSAP,YES,YES,BWA,SomaticSniper,DELETE,a065,01:30:26,5426
534,NC,Uhem + COSAP,YES,YES,BWA,SomaticSniper,DELETE,s020,2:35:13,9313
537,LL,Uhem + COSAP,NO,NO,BWA,SomaticSniper,DELETE,s045,0:41:53,2513
538,EA,Uhem + COSAP,NO,NO,BWA,SomaticSniper,DELETE,s065,02:03:41,7421
539,LL,Altay + COSAP,NO,NO,BWA,SomaticSniper,DELETE,a065,00:46:35,2795
540,NC,Uhem + COSAP,NO,NO,BWA,SomaticSniper,DELETE,s020,1:09:09,4149
543,LL,Uhem + COSAP,YES,NO,BWA,SomaticSniper,DELETE,s045,0:45:12,2712
544,EA,Uhem + COSAP,YES,NO,BWA,SomaticSniper,DELETE,s065,02:14:07,8047
545,LL,Altay + COSAP,YES,NO,BWA,SomaticSniper,DELETE,a065,00:49:52,2992
546,NC,Uhem + COSAP,YES,NO,BWA,SomaticSniper,DELETE,s020,1:12:17,4337
549,LL,Uhem + COSAP,NO,YES,BWA,SomaticSniper,DELETE,s045,1:32:47,5567
550,EA,Uhem + COSAP,NO,YES,BWA,SomaticSniper,DELETE,s065,04:13:09,15189
551,LL,Altay + COSAP,NO,YES,BWA,SomaticSniper,DELETE,a065,01:29:18,5358
552,NC,Uhem + COSAP,NO,YES,BWA,SomaticSniper,DELETE,s020,2:32:16,9136
555,LL,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,s022,1:46:00,6360
556,EA,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,s036,05:00:35,18035
557,LL,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,a055,01:44:27,6267
