run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Inter/Union,Precision,Recall,f1_score
202,EA,Uhem + COSAP,NO,NO,BWA,Strelka,MARK,0.4561778537836682,0.4752783964365256,0.9190353143841516,0.6265413975337639
203,LL,Altay + COSAP,NO,NO,BWA,Strelka,MARK,0.40375381929288523,0.45012165450121655,0.7967269595176572,0.5752487562189055
204,NC,Uhem + COSAP,NO,NO,BWA,Strelka,MARK,0.49430740037950666,0.5238813474107592,0.8975021533161068,0.6615873015873016
207,LL,Uhem + COSAP,YES,NO,BWA,Strelka,MARK,0.3928722952906237,0.4363807728557964,0.797588285960379,0.5641181845872678
208,EA,Uhem + COSAP,YES,NO,BWA,Strelka,MARK,0.43783340172343044,0.45539906103286387,0.9190353143841516,0.6090182648401826
209,LL,Altay + COSAP,YES,NO,BWA,Strelka,MARK,0.3928722952906237,0.4363807728557964,0.797588285960379,0.5641181845872678
210,NC,Uhem + COSAP,YES,NO,BWA,Strelka,MARK,0.48177203507152744,0.5092682926829268,0.8992248062015504,0.650264715042043
213,LL,Uhem + COSAP,NO,YES,BWA,Strelka,MARK,0.4491484184914842,0.5079801871216291,0.7950043066322137,0.6198791134989927
214,EA,Uhem + COSAP,NO,YES,BWA,Strelka,MARK,0.5590551181102362,0.5887230514096186,0.917312661498708,0.7171717171717172
215,LL,Altay + COSAP,NO,YES,BWA,Strelka,MARK,0.4491484184914842,0.5079801871216291,0.7950043066322137,0.6198791134989927
216,NC,Uhem + COSAP,NO,YES,BWA,Strelka,MARK,0.5504782146652497,0.5896414342629482,0.892334194659776,0.7100753941055518
219,LL,Uhem + COSAP,YES,YES,BOWTIE,Strelka,MARK,0.5477453580901857,0.7041773231031543,0.7114556416881999,0.7077977720651243
220,EA,Uhem + COSAP,YES,YES,BOWTIE,Strelka,MARK,0.6565798733286418,0.7820620284995808,0.8036175710594315,0.7926932880203906
221,LL,Altay + COSAP,YES,YES,BOWTIE,Strelka,MARK,0.5477453580901857,0.7041773231031543,0.7114556416881999,0.7077977720651243
222,NC,Uhem + COSAP,YES,YES,BOWTIE,Strelka,MARK,0.6690442225392297,0.7955894826123834,0.8079242032730405,0.8017094017094016
225,LL,Uhem + COSAP,NO,NO,BOWTIE,Strelka,MARK,0.5147164393395549,0.7555321390937829,0.6175710594315246,0.6796208530805687
226,EA,Uhem + COSAP,NO,NO,BOWTIE,Strelka,MARK,0.6489208633093525,0.7975243147656941,0.7769164513350559,0.787085514834206
227,LL,Altay + COSAP,NO,NO,BOWTIE,Strelka,MARK,0.5147164393395549,0.7555321390937829,0.6175710594315246,0.6796208530805687
228,NC,Uhem + COSAP,NO,NO,BOWTIE,Strelka,MARK,0.672082717872969,0.8250226654578422,0.7838070628768303,0.8038869257950529
231,LL,Uhem + COSAP,YES,NO,BOWTIE,Strelka,MARK,0.5057821059038344,0.6329017517136329,0.7157622739018088,0.67178658043654
232,EA,Uhem + COSAP,YES,NO,BOWTIE,Strelka,MARK,0.6410432395332876,0.759349593495935,0.8044788975021533,0.781263069845253
233,LL,Altay + COSAP,YES,NO,BOWTIE,Strelka,MARK,0.5057821059038344,0.6329017517136329,0.7157622739018088,0.67178658043654
234,NC,Uhem + COSAP,YES,NO,BOWTIE,Strelka,MARK,0.6573426573426573,0.7775020678246485,0.8096468561584841,0.7932489451476793
237,LL,Uhem + COSAP,NO,YES,BOWTIE,Strelka,MARK,0.5532245532245532,0.8496420047732697,0.6132644272179156,0.7123561780890446
238,EA,Uhem + COSAP,NO,YES,BOWTIE,Strelka,MARK,0.6736370425690814,0.8351851851851851,0.7769164513350559,0.8049977688531905
239,LL,Altay + COSAP,NO,YES,BOWTIE,Strelka,MARK,0.5532245532245532,0.8496420047732697,0.6132644272179156,0.7123561780890446
240,NC,Uhem + COSAP,NO,YES,BOWTIE,Strelka,MARK,0.7021604938271605,0.8708133971291866,0.7838070628768303,0.8250226654578423
243,LL,Uhem + COSAP,YES,YES,BWA,SomaticSniper,MARK,0.3345209817893903,0.38235294117647056,0.7278208440999139,0.5013349154553545
244,EA,Uhem + COSAP,YES,YES,BWA,SomaticSniper,MARK,0.4717698154180239,0.5606451612903226,0.7484926787252368,0.6410918480265584
245,LL,Altay + COSAP,YES,YES,BWA,SomaticSniper,MARK,0.3345209817893903,0.38235294117647056,0.7278208440999139,0.5013349154553545
246,NC,Uhem + COSAP,YES,YES,BWA,SomaticSniper,MARK,0.5002820078962211,0.5917278185456971,0.7639965546942291,0.6669172932330827
249,LL,Uhem + COSAP,NO,NO,BWA,SomaticSniper,MARK,0.29200819672131145,0.32608695652173914,0.7364341085271318,0.45202220459952414
250,EA,Uhem + COSAP,NO,NO,BWA,SomaticSniper,MARK,0.48083242059145676,0.5690213869086196,0.756244616709733,0.6494082840236687
251,LL,Altay + COSAP,NO,NO,BWA,SomaticSniper,MARK,0.29200819672131145,0.32608695652173914,0.7364341085271318,0.45202220459952414
