source,df,sum_sq,percent
C(isTrimmed):C(Mapper):C(VariantCaller):C(Center):C(Environment),8.0,1.0676580472165693e-09,7.465125370888862e-09
C(isTrimmed):C(Mapper):C(VariantCaller):C(Environment),2.0,2.6691451180299306e-10,1.8662813427141794e-09
C(isTrimmed):C(VariantCaller),2.0,0.3498806013533494,2.4463849270410907
C(isTrimmed):C(VariantCaller):C(Center),8.0,0.05058744142581015,0.353710247790196
C(isTrimmed):C(VariantCaller):C(Center):C(Environment),8.0,1.0676580472108903e-09,7.465125370849154e-09
C(isTrimmed):C(VariantCaller):C(Environment),2.0,2.6691451180776424e-10,1.8662813427475396e-09
C(isTrimmed):C(baseRecalibration),1.0,0.0001832896826394169,0.0012815718138039093
C(isTrimmed):C(baseRecalibration):C(Center),4.0,0.000752589842823663,0.005262150689711016
C(isTrimmed):C(baseRecalibration):C(Center):C(Environment),4.0,5.338290236140346e-10,3.7325626854846344e-09
C(isTrimmed):C(baseRecalibration):C(Duplicates),1.0,1.3345725588601336e-10,9.331406712488306e-10
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(Center),4.0,5.338290235944527e-10,3.732562685347717e-09
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(Center):C(Environment),4.0,5.338290235986987e-10,3.7325626853774045e-09
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(Environment),1.0,1.3345725591412758e-10,9.331406714454068e-10
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(Mapper),1.0,1.3345725589125273e-10,9.331406712854646e-10
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(Mapper):C(Center),4.0,5.338290236001764e-10,3.732562685387738e-09
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(Mapper):C(Center):C(Environment),4.0,5.338290235988153e-10,3.73256268537822e-09
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(Mapper):C(Environment),1.0,1.33457255895643e-10,9.331406713161614e-10
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(Mapper):C(VariantCaller),2.0,2.6691451179752e-10,1.8662813426759116e-09
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(Mapper):C(VariantCaller):C(Center),8.0,1.067658047213788e-09,7.465125370869413e-09
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(Mapper):C(VariantCaller):C(Center):C(Environment),8.0,1.0676580472117683e-09,7.465125370855292e-09
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(Mapper):C(VariantCaller):C(Environment),2.0,2.669145117992174e-10,1.86628134268778e-09
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(VariantCaller),2.0,2.66914511817453e-10,1.866281342815284e-09
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(VariantCaller):C(Center),8.0,1.0676580472103047e-09,7.465125370845058e-09
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(VariantCaller):C(Center):C(Environment),8.0,1.0676580472053287e-09,7.465125370810267e-09
C(isTrimmed):C(baseRecalibration):C(Duplicates):C(VariantCaller):C(Environment),2.0,2.6691451179064077e-10,1.866281342627812e-09
C(isTrimmed):C(baseRecalibration):C(Environment),1.0,1.3345725591136149e-10,9.33140671426066e-10
C(isTrimmed):C(baseRecalibration):C(Mapper),1.0,0.0013033657973818055,0.009113207273573863
C(isTrimmed):C(baseRecalibration):C(Mapper):C(Center),4.0,0.0005111384300499969,0.0035739087736473864
C(isTrimmed):C(baseRecalibration):C(Mapper):C(Center):C(Environment),4.0,5.33829023609074e-10,3.73256268544995e-09
C(isTrimmed):C(baseRecalibration):C(Mapper):C(Environment),1.0,1.334572558789873e-10,9.33140671199704e-10
C(isTrimmed):C(baseRecalibration):C(Mapper):C(VariantCaller),2.0,0.004274388378226013,0.029886764971720336
C(isTrimmed):C(baseRecalibration):C(Mapper):C(VariantCaller):C(Center),8.0,0.005048140260312214,0.03529688183525487
C(isTrimmed):C(baseRecalibration):C(Mapper):C(VariantCaller):C(Center):C(Environment),8.0,1.067658047191249e-09,7.46512537071182e-09
C(isTrimmed):C(baseRecalibration):C(Mapper):C(VariantCaller):C(Environment),2.0,2.669145118022614e-10,1.8662813427090637e-09
C(isTrimmed):C(baseRecalibration):C(VariantCaller),2.0,0.006668825772694027,0.04662880647934396
C(isTrimmed):C(baseRecalibration):C(VariantCaller):C(Center),8.0,0.0073125324441964575,0.0511296398851062
C(isTrimmed):C(baseRecalibration):C(VariantCaller):C(Center):C(Environment),8.0,1.067658047225145e-09,7.465125370948823e-09
C(isTrimmed):C(baseRecalibration):C(VariantCaller):C(Environment),2.0,2.6691451179526554e-10,1.8662813426601484e-09
Residual,0.0,4.064351591398604e-27,2.841817589467176e-26
