TestCase,Region,Inter/Union,Precision,Recall,f1_score
262,GRCh38_alllowmapandsegdupregions.bed,0.39177750906892383,0.5679228746713411,0.5581395348837209,0.5629887054735012
263,GRCh38_alllowmapandsegdupregions.bed,0.2873980054397099,0.3776057176891007,0.5460809646856158,0.44647887323943664
264,GRCh38_alllowmapandsegdupregions.bed,0.4091189155884165,0.5896980461811723,0.5719207579672696,0.5806733712286839
267,GRCh38_alllowmapandsegdupregions.bed,0.3077330508474576,0.4441896024464832,0.5004306632213609,0.4706358849736736
268,GRCh38_alllowmapandsegdupregions.bed,0.4102911306702776,0.6572668112798264,0.5219638242894057,0.5818530964954393
269,GRCh38_alllowmapandsegdupregions.bed,0.3077330508474576,0.4441896024464832,0.5004306632213609,0.4706358849736736
270,GRCh38_alllowmapandsegdupregions.bed,0.4176271186440678,0.6623655913978495,0.5305770887166236,0.5891917742706838
273,GRCh38_alllowmapandsegdupregions.bed,0.06165590135055784,0.16228748068006182,0.09043927648578813,0.11615044247787612
274,GRCh38_alllowmapandsegdupregions.bed,0.2521865889212828,0.6211849192100538,0.2980189491817399,0.4027939464493597
275,GRCh38_alllowmapandsegdupregions.bed,0.06165590135055784,0.16228748068006182,0.09043927648578813,0.11615044247787612
276,GRCh38_alllowmapandsegdupregions.bed,0.2588320115356885,0.6136752136752137,0.3092161929371232,0.41122565864833904
279,GRCh38_alllowmapandsegdupregions.bed,0.2497907949790795,0.32694414019715223,0.5142118863049095,0.3997321727485771
280,GRCh38_alllowmapandsegdupregions.bed,0.3928346951602766,0.5924170616113744,0.5383290267011197,0.5640794223826716
281,GRCh38_alllowmapandsegdupregions.bed,0.2497907949790795,0.32694414019715223,0.5142118863049095,0.3997321727485771
282,GRCh38_alllowmapandsegdupregions.bed,0.4008980115458627,0.6109481915933529,0.5383290267011197,0.5723443223443223
285,GRCh38_alllowmapandsegdupregions.bed,0.06856754921928038,0.2445520581113801,0.08699397071490095,0.12833545108005084
286,GRCh38_alllowmapandsegdupregions.bed,0.26434108527131783,0.725531914893617,0.2937123169681309,0.41814837522992027
287,GRCh38_alllowmapandsegdupregions.bed,0.06856754921928038,0.2445520581113801,0.08699397071490095,0.12833545108005084
288,GRCh38_alllowmapandsegdupregions.bed,0.2668178382464097,0.6854368932038835,0.3040482342807924,0.4212410501193317
290,GRCh38_alllowmapandsegdupregions.bed,0.5796992481203007,0.8202127659574469,0.6640826873385013,0.7339362208472157
296,GRCh38_alllowmapandsegdupregions.bed,0.5762081784386617,0.808133472367049,0.6675279931093885,0.7311320754716981
302,GRCh38_alllowmapandsegdupregions.bed,0.5700589970501475,0.7985537190082644,0.6658053402239449,0.7261625176139033
308,GRCh38_alllowmapandsegdupregions.bed,0.5902140672782875,0.8400435255712732,0.664944013781223,0.7423076923076923
314,GRCh38_alllowmapandsegdupregions.bed,0.6118421052631579,0.9311639549436797,0.6408268733850129,0.7591836734693878
320,GRCh38_alllowmapandsegdupregions.bed,0.5952960259529603,0.9106699751861044,0.6322136089577951,0.7463141840366039
326,GRCh38_alllowmapandsegdupregions.bed,0.6019339242546333,0.9032648125755744,0.6434108527131783,0.7515090543259557
332,GRCh38_alllowmapandsegdupregions.bed,0.6,0.9254108723135273,0.6304909560723514,0.75
338,GRCh38_alllowmapandsegdupregions.bed,0.4348543155579989,0.5458937198067633,0.6813092161929372,0.6061302681992337
344,GRCh38_alllowmapandsegdupregions.bed,0.38205499276411,0.4647887323943662,0.6821705426356589,0.5528795811518324
350,GRCh38_alllowmapandsegdupregions.bed,0.3695753616425572,0.4464487034949267,0.6821705426356589,0.5396933560477001
356,GRCh38_alllowmapandsegdupregions.bed,0.4549109707064905,0.577259475218659,0.6821705426356589,0.6253454401894987
362,GRCh38_alllowmapandsegdupregions.bed,0.5058309037900874,0.7668508287292818,0.5977605512489234,0.6718296224588578
368,GRCh38_alllowmapandsegdupregions.bed,0.5003700962250185,0.7806004618937644,0.5822566752799311,0.6669955599407992
374,GRCh38_alllowmapandsegdupregions.bed,0.495014245014245,0.7409381663113006,0.5986218776916451,0.6622201048118149
380,GRCh38_alllowmapandsegdupregions.bed,0.516793893129771,0.8196125907990315,0.5831180017226529,0.6814292903875189
386,GRCh38_alllowmapandsegdupregions.bed,0.3851113716295428,0.5465890183028286,0.5658914728682171,0.5560727888277613
392,GRCh38_alllowmapandsegdupregions.bed,0.3940652818991098,0.5589225589225589,0.5719207579672696,0.5653469561515538
398,GRCh38_alllowmapandsegdupregions.bed,0.3868909512761021,0.5422764227642276,0.5745047372954349,0.5579255541614387
404,GRCh38_alllowmapandsegdupregions.bed,0.39177750906892383,0.5679228746713411,0.5581395348837209,0.5629887054735012
410,GRCh38_alllowmapandsegdupregions.bed,0.4102911306702776,0.6572668112798264,0.5219638242894057,0.5818530964954393
