TestCase1,TestCase2,Inter/Union
bo/st/yes/no/m/231/ll/U,bw/so/yes/yes/d/533/ll/A,0.44
bo/st/yes/no/m/231/ll/U,bo/so/yes/no/d/567/ll/U,0.4
bo/st/yes/no/m/231/ll/U,bw/so/no/yes/d/551/ll/A,0.44
bo/st/yes/no/m/231/ll/U,bo/so/yes/no/d/569/ll/A,0.4
bo/st/yes/no/m/231/ll/U,bw/st/no/yes/d/503/ll/A,0.6
bo/st/yes/no/m/231/ll/U,bw/mu/no/yes/m/167/ll/A,0.54
bo/st/yes/no/m/231/ll/U,bo/so/yes/yes/d/557/ll/A,0.5
bo/st/yes/no/m/231/ll/U,bo/so/no/no/d/561/ll/U,0.13
bo/st/yes/no/m/231/ll/U,bw/so/yes/yes/m/245/ll/A,0.44
bo/st/yes/no/m/231/ll/U,bo/so/no/yes/m/287/ll/A,0.13
bo/st/yes/no/m/231/ll/U,bo/so/no/no/m/273/ll/U,0.13
bo/st/yes/no/m/231/ll/U,bw/st/yes/yes/d/485/ll/A,0.62
bo/st/yes/no/m/231/ll/U,bo/st/no/no/m/227/ll/A,0.59
bo/st/yes/no/m/231/ll/U,bo/mu/yes/no/d/471/ll/U,0.56
bo/st/yes/no/m/231/ll/U,bw/mu/yes/no/d/449/ll/A,0.56
bo/st/yes/no/m/231/ll/U,bw/mu/yes/no/d/447/ll/U,0.56
bo/st/yes/no/m/231/ll/U,bo/so/yes/no/m/281/ll/A,0.4
bo/st/yes/no/m/231/ll/U,bo/so/no/no/m/275/ll/A,0.13
bo/st/yes/no/m/231/ll/U,bw/so/yes/yes/m/243/ll/U,0.44
bo/st/yes/no/m/231/ll/U,bo/mu/no/yes/d/479/ll/A,0.53
bo/st/yes/no/m/231/ll/U,bw/mu/no/no/d/441/ll/U,0.52
bo/st/yes/no/m/231/ll/U,bw/st/yes/yes/d/483/ll/U,0.62
bo/st/yes/no/m/231/ll/U,bo/mu/no/yes/d/477/ll/U,0.53
bo/st/yes/no/m/231/ll/U,bo/st/yes/yes/m/221/ll/A,0.89
bo/st/yes/no/m/231/ll/U,bo/st/yes/yes/m/219/ll/U,0.89
bo/mu/no/no/d/467/ll/A,bw/st/yes/no/m/207/ll/U,0.38
bo/mu/no/no/d/467/ll/A,bo/st/yes/no/m/231/ll/U,0.5
bo/mu/no/no/d/467/ll/A,bo/mu/no/no/d/467/ll/A,1.0
bo/mu/no/no/d/467/ll/A,bw/st/yes/no/m/209/ll/A,0.38
bo/mu/no/no/d/467/ll/A,bw/so/yes/no/m/255/ll/U,0.26
