TestCase,TMB
648,35.80872849396115
225,11.750512911745897
473,11.341907088682024
641,40.848200311748904
814,10.301819539064896
2,15.613695238895232
480,13.44684617719288
646,17.607196375661395
474,13.347790220086488
222,14.598371678554702
813,13.384936204001384
847,13.01347636485241
249,32.46558994162038
282,16.95095065983154
612,4.668011978638781
276,9.744629780341434
840,8.419756354043423
615,40.538650445791426
285,6.810097051064534
623,38.508003325110366
849,21.185592826129852
240,12.939184397022615
416,9.385551935830758
624,9.769393769618032
835,20.690313040597886
660,4.668011978638781
204,24.627787335577015
658,11.007593233447947
832,13.323026230809889
203,25.44499898170476
667,18.622519936001925
455,12.666780514980033
804,20.120741287236125
497,26.274592622470802
651,27.017512300768754
669,40.538650445791426
803,32.205568054216094
232,15.229853405107958
656,13.44684617719288
490,27.7975779629816
602,13.44684617719288
857,18.189150123661456
437,11.837186874213991
605,27.02989429540705
261,26.79463639727937
850,31.71028826868413
257,33.728553394726895
859,20.690313040597886
633,27.35182615600283
268,14.994595506980275
634,15.378437340767547
250,19.105417726895592
861,13.384936204001384
668,16.95095065983154
802,31.71028826868413
491,25.44499898170476
233,16.257558960086786
657,27.017512300768754
465,11.98577080987358
805,14.276439817958924
462,13.261116257618394
650,13.44684617719288
234,14.969831517703676
496,29.011013437534917
659,27.02989429540705
833,18.176768129023156
202,27.7975779629816
454,15.316527367576052
666,9.769393769618032
498,25.383089008513263
834,20.90080694944897
661,18.622519936001925
453,12.666780514980033
635,27.574702059492214
251,32.46558994162038
860,17.83007227915078
438,14.078327903746137
858,20.90080694944897
256,19.811191421278647
632,12.456286606128948
269,21.693254606300115
604,11.007593233447947
436,15.613695238895232
851,32.205568054216094
267,21.693254606300115
603,27.017512300768754
856,13.323026230809889
258,19.340675625023277
588,21.878984525874603
543,33.728553394726895
771,13.929743968086548
785,18.189150123661456
749,18.02818419336357
782,14.065945909107837
776,12.86489242919282
544,19.811191421278647
586,15.378437340767547
740,13.347790220086488
116,18.238678102214653
778,31.71028826868413
575,6.810097051064534
747,21.755164579491613
581,27.574702059492214
521,16.257558960086786
526,13.372554209363086
189,11.081885201277743
519,16.257558960086786
180,13.422082187916281
174,13.261116257618394
510,14.598371678554702
722,13.261116257618394
725,18.56060996281043
173,11.973388815235282
528,12.939184397022615
779,32.205568054216094
580,15.378437340767547
38,13.830688010980154
110,19.811191421278647
746,13.44684617719288
574,7.9120945738731585
128,9.385551935830758
573,6.810097051064534
741,25.383089008513263
587,27.574702059492214
748,12.939184397022615
545,33.728553394726895
777,21.185592826129852
783,14.846011571320684
589,17.06238861157623
784,13.323026230809889
770,13.929743968086548
314,13.397318198639685
186,13.347790220086488
516,13.657340086043966
724,14.598371678554702
172,13.397318198639685
723,22.720960161278946
62,29.011013437534917
527,10.37611150689469
98,19.192091689363686
520,15.229853405107958
159,11.911478842043785
192,13.44684617719288
