TestCase,Region,Inter/Union,Precision,Recall,f1_score
627,GRCh38_alldifficultregions.bed,0.3857451403887689,0.4362481680508061,0.7691645133505599,0.5567331670822943
628,GRCh38_alldifficultregions.bed,0.5478260869565217,0.7103209019947961,0.7054263565891473,0.7078651685393259
629,GRCh38_alldifficultregions.bed,0.3266393442622951,0.38391136801541426,0.6864771748492678,0.4924312635156009
630,GRCh38_alldifficultregions.bed,0.3604481246955675,0.4534313725490196,0.6373815676141258,0.5298961689939133
631,GRCh38_alldifficultregions.bed,0.5813639432815665,0.729043183742591,0.7416020671834626,0.7352690008539711
632,GRCh38_alldifficultregions.bed,0.6573705179282868,0.8977149075081611,0.710594315245478,0.7932692307692307
633,GRCh38_alldifficultregions.bed,0.3857451403887689,0.4362481680508061,0.7691645133505599,0.5567331670822943
634,GRCh38_alldifficultregions.bed,0.5478260869565217,0.7103209019947961,0.7054263565891473,0.7078651685393259
635,GRCh38_alldifficultregions.bed,0.3266393442622951,0.38391136801541426,0.6864771748492678,0.4924312635156009
636,GRCh38_alldifficultregions.bed,0.3604481246955675,0.4534313725490196,0.6373815676141258,0.5298961689939133
637,GRCh38_alldifficultregions.bed,0.5546272493573264,0.6860095389507154,0.7433247200689062,0.7135179826374534
638,GRCh38_alldifficultregions.bed,0.6341463414634146,0.8463886063072228,0.7166236003445305,0.7761194029850746
639,GRCh38_alldifficultregions.bed,0.27613776137761376,0.3004349280695885,0.7734711455641688,0.4327710843373494
640,GRCh38_alldifficultregions.bed,0.4963768115942029,0.6241457858769932,0.7080103359173127,0.6634382566585956
641,GRCh38_alldifficultregions.bed,0.24252199413489736,0.2688556566970091,0.7123169681309216,0.3903705451970734
642,GRCh38_alldifficultregions.bed,0.2527759634225996,0.2893457943925234,0.6666666666666666,0.4035453597497393
643,GRCh38_alldifficultregions.bed,0.5546272493573264,0.6860095389507154,0.7433247200689062,0.7135179826374534
644,GRCh38_alldifficultregions.bed,0.6341463414634146,0.8463886063072228,0.7166236003445305,0.7761194029850746
645,GRCh38_alldifficultregions.bed,0.27613776137761376,0.3004349280695885,0.7734711455641688,0.4327710843373494
646,GRCh38_alldifficultregions.bed,0.4963768115942029,0.6241457858769932,0.7080103359173127,0.6634382566585956
647,GRCh38_alldifficultregions.bed,0.24252199413489736,0.2688556566970091,0.7123169681309216,0.3903705451970734
648,GRCh38_alldifficultregions.bed,0.2527759634225996,0.2893457943925234,0.6666666666666666,0.4035453597497393
649,GRCh38_alldifficultregions.bed,0.545224541429475,0.672386895475819,0.7424633936261843,0.7056897257470324
650,GRCh38_alldifficultregions.bed,0.5684133915574964,0.7857142857142857,0.6726959517657192,0.7248259860788864
651,GRCh38_alldifficultregions.bed,0.39080962800875274,0.44273673772930094,0.7691645133505599,0.5619886721208307
652,GRCh38_alldifficultregions.bed,0.5424124513618677,0.8489646772228989,0.6003445305770887,0.7033299697275479
653,GRCh38_alldifficultregions.bed,0.3316708229426434,0.39060205580029367,0.6873385012919897,0.4981273408239701
654,GRCh38_alldifficultregions.bed,0.04426002766251729,0.1833810888252149,0.05512489233419466,0.08476821192052982
655,GRCh38_alldifficultregions.bed,0.545224541429475,0.672386895475819,0.7424633936261843,0.7056897257470324
656,GRCh38_alldifficultregions.bed,0.5684133915574964,0.7857142857142857,0.6726959517657192,0.7248259860788864
657,GRCh38_alldifficultregions.bed,0.39080962800875274,0.44273673772930094,0.7691645133505599,0.5619886721208307
658,GRCh38_alldifficultregions.bed,0.5424124513618677,0.8489646772228989,0.6003445305770887,0.7033299697275479
659,GRCh38_alldifficultregions.bed,0.3316708229426434,0.39060205580029367,0.6873385012919897,0.4981273408239701
660,GRCh38_alldifficultregions.bed,0.04426002766251729,0.1833810888252149,0.05512489233419466,0.08476821192052982
661,GRCh38_alldifficultregions.bed,0.5161290322580645,0.6274509803921569,0.7441860465116279,0.6808510638297872
662,GRCh38_alldifficultregions.bed,0.4901234567901235,0.6336791699920191,0.6838931955211025,0.6578293289146644
663,GRCh38_alldifficultregions.bed,0.2735016732582902,0.2971900826446281,0.7743324720068906,0.429526994744386
664,GRCh38_alldifficultregions.bed,0.4912648497554158,0.7225077081192189,0.6055124892334195,0.6588566073102156
665,GRCh38_alldifficultregions.bed,0.2533908754623921,0.28296041308089503,0.7080103359173127,0.40432857845548453
666,GRCh38_alldifficultregions.bed,0.03856749311294766,0.09668508287292818,0.06029285099052541,0.0742705570291777
667,GRCh38_alldifficultregions.bed,0.5161290322580645,0.6274509803921569,0.7441860465116279,0.6808510638297872
668,GRCh38_alldifficultregions.bed,0.4901234567901235,0.6336791699920191,0.6838931955211025,0.6578293289146644
669,GRCh38_alldifficultregions.bed,0.2735016732582902,0.2971900826446281,0.7743324720068906,0.429526994744386
670,GRCh38_alldifficultregions.bed,0.4912648497554158,0.7225077081192189,0.6055124892334195,0.6588566073102156
