TestCase,Sample,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Node,ElapsedTime,Environment,"baseRecalibration, isTrimmed","Mapper, VariantCaller"
231,LL,YES,NO,BOWTIE,Strelka,MARK,s022,0:49:57,Uhem + COSAP,"NO, YES","BOWTIE, Strelka"
232,EA,YES,NO,BOWTIE,Strelka,MARK,f003,02:14:47,Uhem + COSAP,"NO, YES","BOWTIE, Strelka"
233,LL,YES,NO,BOWTIE,Strelka,MARK,a044,00:53:31,Altay + COSAP,"NO, YES","BOWTIE, Strelka"
234,NC,YES,NO,BOWTIE,Strelka,MARK,s023,1:19:49,Uhem + COSAP,"NO, YES","BOWTIE, Strelka"
237,LL,NO,YES,BOWTIE,Strelka,MARK,s022,1:30:34,Uhem + COSAP,"YES, NO","BOWTIE, Strelka"
238,EA,NO,YES,BOWTIE,Strelka,MARK,f003,03:51:50,Uhem + COSAP,"YES, NO","BOWTIE, Strelka"
239,LL,NO,YES,BOWTIE,Strelka,MARK,a044,01:27:47,Altay + COSAP,"YES, NO","BOWTIE, Strelka"
240,NC,NO,YES,BOWTIE,Strelka,MARK,s023,2:39:04,Uhem + COSAP,"YES, NO","BOWTIE, Strelka"
243,LL,YES,YES,BWA,SomaticSniper,MARK,s011,1:30:55,Uhem + COSAP,"YES, YES","BWA, SomaticSniper"
244,EA,YES,YES,BWA,SomaticSniper,MARK,s030,04:36:26,Uhem + COSAP,"YES, YES","BWA, SomaticSniper"
245,LL,YES,YES,BWA,SomaticSniper,MARK,a059,01:31:54,Altay + COSAP,"YES, YES","BWA, SomaticSniper"
246,NC,YES,YES,BWA,SomaticSniper,MARK,s021,2:34:52,Uhem + COSAP,"YES, YES","BWA, SomaticSniper"
249,LL,NO,NO,BWA,SomaticSniper,MARK,s011,0:40:53,Uhem + COSAP,"NO, NO","BWA, SomaticSniper"
250,EA,NO,NO,BWA,SomaticSniper,MARK,s030,02:48:39,Uhem + COSAP,"NO, NO","BWA, SomaticSniper"
251,LL,NO,NO,BWA,SomaticSniper,MARK,a059,00:46:40,Altay + COSAP,"NO, NO","BWA, SomaticSniper"
252,NC,NO,NO,BWA,SomaticSniper,MARK,s021,1:09:56,Uhem + COSAP,"NO, NO","BWA, SomaticSniper"
255,LL,YES,NO,BWA,SomaticSniper,MARK,s011,0:42:50,Uhem + COSAP,"NO, YES","BWA, SomaticSniper"
256,EA,YES,NO,BWA,SomaticSniper,MARK,s030,02:50:05,Uhem + COSAP,"NO, YES","BWA, SomaticSniper"
257,LL,YES,NO,BWA,SomaticSniper,MARK,a059,00:47:30,Altay + COSAP,"NO, YES","BWA, SomaticSniper"
258,NC,YES,NO,BWA,SomaticSniper,MARK,s021,1:13:23,Uhem + COSAP,"NO, YES","BWA, SomaticSniper"
261,LL,NO,YES,BWA,SomaticSniper,MARK,s011,1:29:53,Uhem + COSAP,"YES, NO","BWA, SomaticSniper"
262,EA,NO,YES,BWA,SomaticSniper,MARK,s030,04:16:05,Uhem + COSAP,"YES, NO","BWA, SomaticSniper"
263,LL,NO,YES,BWA,SomaticSniper,MARK,a059,01:29:06,Altay + COSAP,"YES, NO","BWA, SomaticSniper"
264,NC,NO,YES,BWA,SomaticSniper,MARK,s021,2:34:13,Uhem + COSAP,"YES, NO","BWA, SomaticSniper"
267,LL,YES,YES,BOWTIE,SomaticSniper,MARK,s032,1:45:03,Uhem + COSAP,"YES, YES","BOWTIE, SomaticSniper"
268,EA,YES,YES,BOWTIE,SomaticSniper,MARK,s002,04:21:53,Uhem + COSAP,"YES, YES","BOWTIE, SomaticSniper"
269,LL,YES,YES,BOWTIE,SomaticSniper,MARK,a058,01:42:08,Altay + COSAP,"YES, YES","BOWTIE, SomaticSniper"
270,NC,YES,YES,BOWTIE,SomaticSniper,MARK,s027,3:01:27,Uhem + COSAP,"YES, YES","BOWTIE, SomaticSniper"
273,LL,NO,NO,BOWTIE,SomaticSniper,MARK,s032,0:53:28,Uhem + COSAP,"NO, NO","BOWTIE, SomaticSniper"
274,EA,NO,NO,BOWTIE,SomaticSniper,MARK,s002,02:32:17,Uhem + COSAP,"NO, NO","BOWTIE, SomaticSniper"
275,LL,NO,NO,BOWTIE,SomaticSniper,MARK,a058,00:53:47,Altay + COSAP,"NO, NO","BOWTIE, SomaticSniper"
276,NC,NO,NO,BOWTIE,SomaticSniper,MARK,s027,1:32:46,Uhem + COSAP,"NO, NO","BOWTIE, SomaticSniper"
279,LL,YES,NO,BOWTIE,SomaticSniper,MARK,s032,0:55:54,Uhem + COSAP,"NO, YES","BOWTIE, SomaticSniper"
280,EA,YES,NO,BOWTIE,SomaticSniper,MARK,s002,02:37:56,Uhem + COSAP,"NO, YES","BOWTIE, SomaticSniper"
281,LL,YES,NO,BOWTIE,SomaticSniper,MARK,a058,00:59:35,Altay + COSAP,"NO, YES","BOWTIE, SomaticSniper"
282,NC,YES,NO,BOWTIE,SomaticSniper,MARK,s027,1:35:48,Uhem + COSAP,"NO, YES","BOWTIE, SomaticSniper"
285,LL,NO,YES,BOWTIE,SomaticSniper,MARK,s032,1:40:09,Uhem + COSAP,"YES, NO","BOWTIE, SomaticSniper"
286,EA,NO,YES,BOWTIE,SomaticSniper,MARK,s002,04:18:51,Uhem + COSAP,"YES, NO","BOWTIE, SomaticSniper"
287,LL,NO,YES,BOWTIE,SomaticSniper,MARK,a058,01:36:35,Altay + COSAP,"YES, NO","BOWTIE, SomaticSniper"
288,NC,NO,YES,BOWTIE,SomaticSniper,MARK,s027,3:00:33,Uhem + COSAP,"YES, NO","BOWTIE, SomaticSniper"
290,EA,YES,YES,BWA,Mutect,DELETE,a079,06:07:30,Altay + COSAP,"YES, YES","BWA, Mutect"
296,EA,NO,NO,BWA,Mutect,DELETE,a079,06:31:30,Altay + COSAP,"NO, NO","BWA, Mutect"
302,EA,YES,NO,BWA,Mutect,DELETE,a079,05:47:03,Altay + COSAP,"NO, YES","BWA, Mutect"
308,EA,NO,YES,BWA,Mutect,DELETE,a079,08:12:58,Altay + COSAP,"YES, NO","BWA, Mutect"
314,EA,YES,YES,BOWTIE,Mutect,DELETE,a061,07:55:59,Altay + COSAP,"YES, YES","BOWTIE, Mutect"
320,EA,NO,NO,BOWTIE,Mutect,DELETE,a061,10:10:03,Altay + COSAP,"NO, NO","BOWTIE, Mutect"
326,EA,YES,NO,BOWTIE,Mutect,DELETE,a061,06:10:35,Altay + COSAP,"NO, YES","BOWTIE, Mutect"
332,EA,NO,YES,BOWTIE,Mutect,DELETE,a061,10:55:33,Altay + COSAP,"YES, NO","BOWTIE, Mutect"
338,EA,YES,YES,BWA,Strelka,DELETE,a046,03:58:20,Altay + COSAP,"YES, YES","BWA, Strelka"
344,EA,NO,NO,BWA,Strelka,DELETE,a048,01:49:01,Altay + COSAP,"NO, NO","BWA, Strelka"
350,EA,YES,NO,BWA,Strelka,DELETE,a048,02:03:24,Altay + COSAP,"NO, YES","BWA, Strelka"
356,EA,NO,YES,BWA,Strelka,DELETE,a048,03:34:30,Altay + COSAP,"YES, NO","BWA, Strelka"
362,EA,YES,YES,BOWTIE,Strelka,DELETE,a062,04:30:56,Altay + COSAP,"YES, YES","BOWTIE, Strelka"
368,EA,NO,NO,BOWTIE,Strelka,DELETE,a062,02:15:48,Altay + COSAP,"NO, NO","BOWTIE, Strelka"
374,EA,YES,NO,BOWTIE,Strelka,DELETE,a062,02:37:28,Altay + COSAP,"NO, YES","BOWTIE, Strelka"
380,EA,NO,YES,BOWTIE,Strelka,DELETE,a062,04:15:32,Altay + COSAP,"YES, NO","BOWTIE, Strelka"
386,EA,YES,YES,BWA,SomaticSniper,DELETE,a049,04:19:05,Altay + COSAP,"YES, YES","BWA, SomaticSniper"
392,EA,NO,NO,BWA,SomaticSniper,DELETE,a049,02:10:21,Altay + COSAP,"NO, NO","BWA, SomaticSniper"
398,EA,YES,NO,BWA,SomaticSniper,DELETE,a049,02:29:23,Altay + COSAP,"NO, YES","BWA, SomaticSniper"
404,EA,NO,YES,BWA,SomaticSniper,DELETE,a049,04:06:32,Altay + COSAP,"YES, NO","BWA, SomaticSniper"
410,EA,YES,YES,BOWTIE,SomaticSniper,DELETE,a064,04:57:47,Altay + COSAP,"YES, YES","BOWTIE, SomaticSniper"
416,EA,NO,NO,BOWTIE,SomaticSniper,DELETE,a064,02:46:02,Altay + COSAP,"NO, NO","BOWTIE, SomaticSniper"
422,EA,YES,NO,BOWTIE,SomaticSniper,DELETE,a064,02:57:27,Altay + COSAP,"NO, YES","BOWTIE, SomaticSniper"
428,EA,NO,YES,BOWTIE,SomaticSniper,DELETE,a064,04:49:56,Altay + COSAP,"YES, NO","BOWTIE, SomaticSniper"
435,LL,YES,YES,BWA,Mutect,DELETE,s046,2:51:10,Uhem + COSAP,"YES, YES","BWA, Mutect"
436,EA,YES,YES,BWA,Mutect,DELETE,s063,08:50:36,Uhem + COSAP,"YES, YES","BWA, Mutect"
437,LL,YES,YES,BWA,Mutect,DELETE,a081,02:56:15,Altay + COSAP,"YES, YES","BWA, Mutect"
438,NC,YES,YES,BWA,Mutect,DELETE,s012,7:22:50,Uhem + COSAP,"YES, YES","BWA, Mutect"
441,LL,NO,NO,BWA,Mutect,DELETE,s046,3:10:12,Uhem + COSAP,"NO, NO","BWA, Mutect"
442,EA,NO,NO,BWA,Mutect,DELETE,s063,07:45:24,Uhem + COSAP,"NO, NO","BWA, Mutect"
443,LL,NO,NO,BWA,Mutect,DELETE,a081,03:17:13,Altay + COSAP,"NO, NO","BWA, Mutect"
444,NC,NO,NO,BWA,Mutect,DELETE,s012,9:05:06,Uhem + COSAP,"NO, NO","BWA, Mutect"
