TestCase,Sample,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Node,ElapsedTime,Environment,"baseRecalibration, isTrimmed","Mapper, VariantCaller"
807,IL,YES,NO,BOWTIE,Strelka,DELETE,s013,3:02:37,Uhem + COSAP,"NO, YES","BOWTIE, Strelka"
808,IL,NO,YES,BOWTIE,Strelka,DELETE,s013,5:05:12,Uhem + COSAP,"YES, NO","BOWTIE, Strelka"
809,IL,YES,YES,BWA,SomaticSniper,DELETE,s040,4:45:31,Uhem + COSAP,"YES, YES","BWA, SomaticSniper"
810,IL,NO,NO,BWA,SomaticSniper,DELETE,s040,2:19:54,Uhem + COSAP,"NO, NO","BWA, SomaticSniper"
811,IL,YES,NO,BWA,SomaticSniper,DELETE,s018,2:34:26,Uhem + COSAP,"NO, YES","BWA, SomaticSniper"
812,IL,NO,YES,BWA,SomaticSniper,DELETE,s018,2:12:30,Uhem + COSAP,"YES, NO","BWA, SomaticSniper"
813,IL,YES,YES,BOWTIE,SomaticSniper,DELETE,s014,5:42:30,Uhem + COSAP,"YES, YES","BOWTIE, SomaticSniper"
814,IL,NO,NO,BOWTIE,SomaticSniper,DELETE,s014,3:15:28,Uhem + COSAP,"NO, NO","BOWTIE, SomaticSniper"
815,IL,YES,NO,BOWTIE,SomaticSniper,DELETE,s014,3:27:29,Uhem + COSAP,"NO, YES","BOWTIE, SomaticSniper"
816,IL,NO,YES,BOWTIE,SomaticSniper,DELETE,s014,5:34:10,Uhem + COSAP,"YES, NO","BOWTIE, SomaticSniper"
817,IL,YES,YES,BWA,Mutect,MARK,a074,8:12:31,Altay + COSAP,"YES, YES","BWA, Mutect"
818,IL,NO,NO,BWA,Mutect,MARK,a074,7:52:47,Altay + COSAP,"NO, NO","BWA, Mutect"
819,IL,YES,NO,BWA,Mutect,MARK,a074,7:26:13,Altay + COSAP,"NO, YES","BWA, Mutect"
820,IL,NO,YES,BWA,Mutect,MARK,a074,8:25:08,Altay + COSAP,"YES, NO","BWA, Mutect"
821,IL,YES,YES,BOWTIE,Mutect,MARK,a075,8:22:42,Altay + COSAP,"YES, YES","BOWTIE, Mutect"
822,IL,NO,NO,BOWTIE,Mutect,MARK,a075,11:31:14,Altay + COSAP,"NO, NO","BOWTIE, Mutect"
823,IL,YES,NO,BOWTIE,Mutect,MARK,a075,7:46:30,Altay + COSAP,"NO, YES","BOWTIE, Mutect"
824,IL,NO,YES,BOWTIE,Mutect,MARK,a075,10:11:36,Altay + COSAP,"YES, NO","BOWTIE, Mutect"
825,IL,YES,YES,BWA,Strelka,MARK,a047,3:44:17,Altay + COSAP,"YES, YES","BWA, Strelka"
826,IL,NO,NO,BWA,Strelka,MARK,a047,2:11:31,Altay + COSAP,"NO, NO","BWA, Strelka"
827,IL,YES,NO,BWA,Strelka,MARK,a047,2:33:36,Altay + COSAP,"NO, YES","BWA, Strelka"
828,IL,NO,YES,BWA,Strelka,MARK,a047,3:47:20,Altay + COSAP,"YES, NO","BWA, Strelka"
829,IL,YES,YES,BOWTIE,Strelka,MARK,a046,4:23:48,Altay + COSAP,"YES, YES","BOWTIE, Strelka"
830,IL,NO,NO,BOWTIE,Strelka,MARK,a046,2:48:54,Altay + COSAP,"NO, NO","BOWTIE, Strelka"
831,IL,YES,NO,BOWTIE,Strelka,MARK,a046,3:12:52,Altay + COSAP,"NO, YES","BOWTIE, Strelka"
832,IL,NO,YES,BOWTIE,Strelka,MARK,a046,4:32:47,Altay + COSAP,"YES, NO","BOWTIE, Strelka"
833,IL,YES,YES,BWA,SomaticSniper,MARK,a068,4:36:16,Altay + COSAP,"YES, YES","BWA, SomaticSniper"
834,IL,NO,NO,BWA,SomaticSniper,MARK,a068,2:34:58,Altay + COSAP,"NO, NO","BWA, SomaticSniper"
835,IL,YES,NO,BWA,SomaticSniper,MARK,a068,2:48:48,Altay + COSAP,"NO, YES","BWA, SomaticSniper"
836,IL,NO,YES,BWA,SomaticSniper,MARK,a068,4:14:56,Altay + COSAP,"YES, NO","BWA, SomaticSniper"
837,IL,YES,YES,BOWTIE,SomaticSniper,MARK,a044,5:19:05,Altay + COSAP,"YES, YES","BOWTIE, SomaticSniper"
838,IL,NO,NO,BOWTIE,SomaticSniper,MARK,a044,3:12:13,Altay + COSAP,"NO, NO","BOWTIE, SomaticSniper"
839,IL,YES,NO,BOWTIE,SomaticSniper,MARK,a044,3:30:36,Altay + COSAP,"NO, YES","BOWTIE, SomaticSniper"
840,IL,NO,YES,BOWTIE,SomaticSniper,MARK,a044,4:58:51,Altay + COSAP,"YES, NO","BOWTIE, SomaticSniper"
841,IL,YES,YES,BWA,Mutect,DELETE,a042,8:51:55,Altay + COSAP,"YES, YES","BWA, Mutect"
842,IL,NO,NO,BWA,Mutect,DELETE,a042,8:23:48,Altay + COSAP,"NO, NO","BWA, Mutect"
843,IL,YES,NO,BWA,Mutect,DELETE,a042,7:52:17,Altay + COSAP,"NO, YES","BWA, Mutect"
844,IL,NO,YES,BWA,Mutect,DELETE,a042,9:09:52,Altay + COSAP,"YES, NO","BWA, Mutect"
845,IL,YES,YES,BOWTIE,Mutect,DELETE,a045,9:22:51,Altay + COSAP,"YES, YES","BOWTIE, Mutect"
846,IL,NO,NO,BOWTIE,Mutect,DELETE,a045,11:56:24,Altay + COSAP,"NO, NO","BOWTIE, Mutect"
847,IL,YES,NO,BOWTIE,Mutect,DELETE,a045,7:54:23,Altay + COSAP,"NO, YES","BOWTIE, Mutect"
848,IL,NO,YES,BOWTIE,Mutect,DELETE,a045,11:11:46,Altay + COSAP,"YES, NO","BOWTIE, Mutect"
849,IL,YES,YES,BWA,Strelka,DELETE,a043,4:58:00,Altay + COSAP,"YES, YES","BWA, Strelka"
850,IL,NO,NO,BWA,Strelka,DELETE,a043,2:24:24,Altay + COSAP,"NO, NO","BWA, Strelka"
851,IL,YES,NO,BWA,Strelka,DELETE,a043,2:44:19,Altay + COSAP,"NO, YES","BWA, Strelka"
852,IL,NO,YES,BWA,Strelka,DELETE,a043,4:34:06,Altay + COSAP,"YES, NO","BWA, Strelka"
853,IL,YES,YES,BOWTIE,Strelka,DELETE,a073,5:34:47,Altay + COSAP,"YES, YES","BOWTIE, Strelka"
854,IL,NO,NO,BOWTIE,Strelka,DELETE,a073,2:57:10,Altay + COSAP,"NO, NO","BOWTIE, Strelka"
855,IL,YES,NO,BOWTIE,Strelka,DELETE,a073,3:19:24,Altay + COSAP,"NO, YES","BOWTIE, Strelka"
856,IL,NO,YES,BOWTIE,Strelka,DELETE,a073,5:11:43,Altay + COSAP,"YES, NO","BOWTIE, Strelka"
857,IL,YES,YES,BWA,SomaticSniper,DELETE,a044,5:17:33,Altay + COSAP,"YES, YES","BWA, SomaticSniper"
858,IL,NO,NO,BWA,SomaticSniper,DELETE,a044,2:46:53,Altay + COSAP,"NO, NO","BWA, SomaticSniper"
859,IL,YES,NO,BWA,SomaticSniper,DELETE,a044,3:06:09,Altay + COSAP,"NO, YES","BWA, SomaticSniper"
860,IL,NO,YES,BWA,SomaticSniper,DELETE,a044,5:11:14,Altay + COSAP,"YES, NO","BWA, SomaticSniper"
861,IL,YES,YES,BOWTIE,SomaticSniper,DELETE,a046,6:07:54,Altay + COSAP,"YES, YES","BOWTIE, SomaticSniper"
862,IL,NO,NO,BOWTIE,SomaticSniper,DELETE,a046,3:23:52,Altay + COSAP,"NO, NO","BOWTIE, SomaticSniper"
863,IL,YES,NO,BOWTIE,SomaticSniper,DELETE,a046,3:56:29,Altay + COSAP,"NO, YES","BOWTIE, SomaticSniper"
864,IL,NO,YES,BOWTIE,SomaticSniper,DELETE,a046,5:40:36,Altay + COSAP,"YES, NO","BOWTIE, SomaticSniper"
