TestCaseNo,phase,Sample,operatingSystem,Environment,isTrimmed,baseRecalibration,Mapper,M_Version,VariantCaller,VC_Version,ReferenceGenom,Duplicates,VariantFilter,FilterPass,SOMATICfilter,remove_indels,TMB,FileLink,Result VCF Count,Author,Slurm_id,Node,ElapsedTime
TestCase 156,done,NC,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,MARK,,,,,14.090709898384436,https://drive.google.com/drive/folders/1mwJcPWevZL-VMV-W0zOZvlXFEM471x4_?usp=sharing,1138,GÜL EDA,658815.0,s020,8:33:53
TestCase 159,done,LL,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,11.911478842043786,https://drive.google.com/drive/folders/1nG9mtUIQHH0jq09Rb9ys_R7ke8WR0oAN?usp=sharing,962,GÜL EDA,658693.0,s008,2:30:06
TestCase 160,done,EA,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,16.009919067320805,https://drive.google.com/drive/folders/1iUDA0pAZW5d-wkqfhq9kOnSmk8jahdju?usp=share_link,1293,GUL EDA,664682.0,s004,06:19:42
TestCase 161,done,LL,,Altay + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,11.911478842043786,https://drive.google.com/drive/folders/1Zk9U3XQ-PtX9WPPEd5HmiH1NeBMF9khf?usp=share_link,962,GÜL EDA,29303.0,a062,02:32:36
TestCase 162,done,NC,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,MARK,,,,,14.103091893022736,https://drive.google.com/drive/folders/16gFyokwJjLooHXg9lOJgfSHVs2mN_Gfd?usp=sharing,1139,GÜL EDA,658815.0,s020,6:24:13
TestCase 165,done,LL,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,12.666780514980033,https://drive.google.com/drive/folders/15aaRh7RdN3-O9P8_r4mWSCvRF7P-ZF5s?usp=sharing,1023,GÜL EDA,658693.0,s008,3:32:01
TestCase 166,done,EA,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,15.316527367576054,https://drive.google.com/drive/folders/11W_Ar5CA-RP9wUBfkeu9D-UrWJJD53WY?usp=share_link,1237,GUL EDA,664682.0,s004,08:32:12
TestCase 167,done,LL,,Altay + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,12.666780514980033,https://drive.google.com/drive/folders/1T3ikpDtSbAN7ZQWfpBFKDc5fs7muHtzg?usp=share_link,1023,GÜL EDA,29303.0,a062,03:16:30
TestCase 168,done,NC,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,MARK,,,,,14.004035935916344,https://drive.google.com/drive/folders/1lux6hcvBRDGW3J6wZ7N9r5qthnewlQdi?usp=sharing,1131,GÜL EDA,658815.0,s020,9:05:42
TestCase 171,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,11.973388815235284,https://drive.google.com/drive/folders/18Um7Eo57qudYYSNijf4HYY-TkSheYP4q?usp=sharing,967,GÜL EDA,658696.0,s028,3:02:11
TestCase 172,done,EA,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,13.397318198639686,https://drive.google.com/drive/folders/1VE0n871upyH9O33jNIJcEfHOi5SFwrYx?usp=share_link,1082,GUL EDA,664679.0,s067,08:53:30
TestCase 173,done,LL,,Altay + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,11.973388815235284,https://drive.google.com/drive/folders/1wGXIB7Mn3RKoxlYMHqJlrwb_8DcN9w6I?usp=share_link,967,GÜL EDA,29304.0,a057,02:53:08
TestCase 174,done,NC,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,13.261116257618394,https://drive.google.com/drive/folders/1KeFW5JRrWc1pIGuniBdVy5MfQI2sZMev?usp=sharing,1071,GÜL EDA,658818.0,s022,7:10:35
TestCase 177,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,11.98577080987358,https://drive.google.com/drive/folders/1A6EcNVssFwIcmaEshf0J6ndUucF7MebZ?usp=sharing,968,GÜL EDA,658696.0,s028,3:51:14
TestCase 178,done,EA,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,13.545902134299276,https://drive.google.com/drive/folders/1r0o01kibN26PneNXroov7VesfgAJy_pc?usp=share_link,1094,GUL EDA,664679.0,s067,12:00:05
TestCase 179,done,LL,,Altay + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,11.98577080987358,https://drive.google.com/drive/folders/164mc4w3XNp58to9oFUca2bEiwGUZehO4?usp=share_link,968,GÜL EDA,29304.0,a057,03:54:07
TestCase 180,done,NC,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,13.42208218791628,https://drive.google.com/drive/folders/17f525kcRsQlSudplvE89GR2nVhAllsR1?usp=sharing,1084,GÜL EDA,658818.0,s022,10:56:36
