TestCase,data,mapper,variantCaller,VCFLength
267,FD,Bowtie,Mutect,0
268,FD,Bowtie,Strelka,0
269,FD,BWA,Mutect,0
270,FD,BWA,Strelka,0
271,FD,Bowtie,Mutect,0
272,FD,Bowtie,Strelka,0
273,FD,BWA,Mutect,0
274,FD,BWA,Strelka,0
275,FD,Bowtie,Mutect,0
276,FD,Bowtie,Strelka,0
277,FD,BWA,Mutect,0
278,FD,BWA,Strelka,0
279,FD,Bowtie,Mutect,0
280,FD,Bowtie,Strelka,0
281,FD,BWA,Mutect,0
282,FD,BWA,Strelka,0
283,FD,Bowtie,Mutect,0
284,FD,Bowtie,Strelka,0
285,FD,BWA,Mutect,0
286,FD,BWA,Strelka,0
287,FD,Bowtie,Mutect,0
288,FD,Bowtie,Strelka,0
289,FD,BWA,Mutect,0
290,FD,BWA,Strelka,0
291,FD,Bowtie,Mutect,0
292,FD,Bowtie,Strelka,0
293,FD,BWA,Mutect,0
294,FD,BWA,Strelka,0
295,FD,Bowtie,Mutect,0
296,FD,Bowtie,Strelka,0
297,FD,BWA,Mutect,0
298,FD,BWA,Strelka,0
299,FD,Bowtie,Mutect,0
300,FD,Bowtie,Strelka,0
301,FD,BWA,Mutect,0
302,FD,BWA,Strelka,0
303,FD,Bowtie,Mutect,0
304,FD,Bowtie,Strelka,0
305,FD,BWA,Mutect,0
306,FD,BWA,Strelka,0
307,FD,Bowtie,Mutect,0
308,FD,Bowtie,Strelka,0
309,FD,BWA,Mutect,0
310,FD,BWA,Strelka,0
311,FD,Bowtie,Mutect,0
312,FD,Bowtie,Strelka,0
313,FD,BWA,Mutect,0
314,FD,BWA,Strelka,0
315,FD,Bowtie,Mutect,0
316,FD,Bowtie,Strelka,0
317,FD,BWA,Mutect,0
318,FD,BWA,Strelka,0
319,FD,Bowtie,Mutect,0
320,FD,Bowtie,Strelka,0
