center,size,k,n_combinations,f1_min,f1_median,f1_max,best_combination,best_precision,best_recall,best_n_called
LL,6,3,134596,0.46412131058759815,0.7193928348732703,0.8475551294343241,1;3;6;10;14;15,0.9556756756756757,0.7614125753660638,925
LL,6,4,134596,0.5116843702579666,0.7753346080305926,0.8475551294343241,0;13;14;15;20;21,0.9556756756756757,0.7614125753660638,925
LL,6,5,134596,0.16009280742459395,0.7739221871713986,0.8440366972477064,3;12;13;15;16;20,0.9604395604395605,0.7527993109388458,910
LL,6,6,134596,0.15409054805401112,0.7131011608623549,0.8423095584667638,13;15;20;21;22;23,0.9644444444444444,0.7476313522825151,900
NC,1,1,24,0.5020533880903492,0.7516621696266155,0.8808243727598567,3,0.9178338001867413,0.8466838931955211,1071
NC,2,1,276,0.49196787148594384,0.7036726677857597,0.8788927335640139,2;14,0.8827106863596872,0.8751076658053403,1151
NC,2,2,276,0.5097011012060829,0.8304223774637505,0.8946660690273421,13;21,0.9327102803738317,0.859603789836348,1070
NC,3,1,2024,0.5437193706474078,0.6710503462575945,0.8758057584873227,2;3;14,0.8739279588336192,0.8776916451335056,1166
NC,3,2,2024,0.504149377593361,0.8479134321444052,0.8981606101390758,3;12;17,0.9372659176029963,0.8621877691645133,1068
NC,3,3,2024,0.526258205689278,0.8270944092442891,0.895468820098699,13;15;21,0.9344569288389513,0.859603789836348,1068
NC,4,1,10626,0.5313839173178725,0.6387370977534912,0.8720581942661532,2;3;14;15,0.8664965986394558,0.8776916451335056,1176
NC,4,2,10626,0.6040229885057472,0.8218413710641689,0.8913043478260869,3;9;12;17,0.8999122036874452,0.8828596037898363,1139
NC,4,3,10626,0.5178476291955247,0.8514597753903506,0.9038112522686025,3;12;17;21,0.9549376797698945,0.8578811369509044,1043
NC,4,4,10626,0.5308574549426543,0.8174001011633789,0.8958707360861761,13;15;21;22,0.9353327085285849,0.859603789836348,1067
NC,5,1,42504,0.5228174603174602,0.6101010101010101,0.8683425649765659,2;3;12;13;14,0.8591905564924115,0.8776916451335056,1186
NC,5,2,42504,0.5901823281907433,0.790273556231003,0.8869335679718434,0;2;3;14;17,0.9064748201438849,0.8682170542635659,1112
NC,5,3,42504,0.6818873668188736,0.8527636072921816,0.900770276393294,0;3;14;17;19,0.9502868068833652,0.8561584840654608,1046
NC,5,4,42504,0.5297002724795641,0.8395429706905116,0.9036363636363637,3;12;15;17;21,0.9566891241578441,0.8561584840654608,1039
NC,5,5,42504,0.5403587443946187,0.8146267140680548,0.8958707360861761,13;15;20;21;22,0.9353327085285849,0.859603789836348,1067
NC,6,1,134596,0.5155294693078992,0.5817782656421515,0.8653927813163482,2;3;12;13;14;15,0.8534338358458962,0.8776916451335056,1194
NC,6,2,134596,0.5700352208073692,0.7488288288288287,0.8809218950064021,0;2;3;9;14;17,0.8730964467005076,0.8888888888888888,1182
NC,6,3,134596,0.651902682470368,0.8433537832310839,0.897355445988346,1;3;5;9;12;17,0.9355140186915888,0.8621877691645133,1070
NC,6,4,134596,0.700787401574803,0.8590604026845637,0.9061784897025171,0;3;12;17;19;23,0.966796875,0.8527131782945736,1024
NC,6,5,134596,0.5377777777777778,0.8352414136386261,0.9036363636363637,3;12;14;15;17;21,0.9566891241578441,0.8561584840654608,1039
NC,6,6,134596,0.5415730337078652,0.8089887640449438,0.8958707360861761,13;15;20;21;22;23,0.9353327085285849,0.859603789836348,1067
