center,pipeline,precision,recall,f1
IL,6,0.6381724392041267,0.7459086993970715,0.687847498014297
IL,7,0.7511563367252544,0.6993970714900948,0.7243532560214094
IL,8,0.8186619718309859,0.8010335917312662,0.8097518502394427
IL,9,0.8605947955390335,0.797588285960379,0.8278945015645954
IL,10,0.8015012510425354,0.8277347114556417,0.8144067796610169
IL,11,0.8300086730268864,0.8242894056847545,0.8271391529818496
IL,12,0.9164444444444444,0.8880275624461671,0.9020122484689413
IL,13,0.9257950530035336,0.9026701119724375,0.9140863497601396
IL,14,0.9164444444444444,0.8880275624461671,0.9020122484689413
IL,15,0.9273049645390071,0.9009474590869939,0.9139362166885103
IL,16,0.5396919431279621,0.7846683893195521,0.6395226395226395
IL,17,0.6041666666666666,0.7493540051679587,0.6689734717416379
IL,18,0.547576301615799,0.7881136950904393,0.646186440677966
IL,19,0.595643294758339,0.7536606373815676,0.6653992395437263
IL,20,0.4228816868410777,0.9328165374677002,0.5819451907576572
IL,21,0.6621538461538462,0.9267872523686477,0.7724335965541996
IL,22,0.41676278354479046,0.9336778639104221,0.5762892078681553
IL,23,0.6282875511396844,0.9259259259259259,0.7486072423398329
LL,0,0.8450413223140496,0.7045650301464255,0.7684358853922029
LL,1,0.9083798882681564,0.7002583979328165,0.7908560311284046
LL,2,0.9377729257641921,0.739879414298019,0.8271545498314878
LL,3,0.905894519131334,0.7545219638242894,0.8233082706766917
LL,4,0.16666666666666666,0.12144702842377261,0.14050822122571002
LL,5,0.24727272727272728,0.11714039621016366,0.15897136177673876
LL,6,0.3345802161263508,0.6933677863910422,0.45135968601065324
LL,7,0.4463470319634703,0.673557278208441,0.5369035358736698
LL,8,0.7555321390937829,0.6175710594315246,0.6796208530805687
LL,9,0.8496420047732697,0.6132644272179156,0.7123561780890446
LL,10,0.6329017517136329,0.7157622739018088,0.67178658043654
LL,11,0.7041773231031543,0.7114556416881999,0.7077977720651243
LL,12,0.8079710144927537,0.768303186907838,0.7876379690949227
LL,13,0.8651026392961877,0.7622739018087855,0.8104395604395604
LL,14,0.9178794178794178,0.7605512489233419,0.8318417333961375
LL,15,0.9257322175732218,0.7622739018087855,0.8360888049126122
LL,16,0.32608695652173914,0.7364341085271318,0.45202220459952414
LL,17,0.38909426987060997,0.7252368647717485,0.5064661654135337
LL,18,0.31497797356828194,0.7390180878552972,0.44169884169884166
LL,19,0.38235294117647056,0.7278208440999139,0.5013349154553545
LL,20,0.45012165450121655,0.7967269595176572,0.5752487562189055
LL,21,0.5079801871216291,0.7950043066322137,0.6198791134989927
LL,22,0.4363807728557964,0.797588285960379,0.5641181845872678
LL,23,0.49252136752136755,0.7941429801894918,0.6079788987800858
NC,0,0.8976014760147601,0.8380706287683032,0.8668151447661471
NC,1,0.8959484346224678,0.8380706287683032,0.8660436137071651
NC,2,0.9109461966604824,0.8458225667527993,0.8771773112996875
NC,3,0.9178338001867413,0.8466838931955211,0.8808243727598567
NC,4,0.6213468869123253,0.42118863049095606,0.5020533880903492
NC,5,0.6901004304160688,0.4142980189491817,0.5177610333692142
NC,6,0.6194302410518627,0.7304048234280792,0.6703557312252965
NC,7,0.6701444622792937,0.719207579672696,0.6938097216452015
NC,8,0.8250226654578422,0.7838070628768303,0.8038869257950529
NC,9,0.8708133971291866,0.7838070628768303,0.8250226654578423
NC,10,0.7775020678246485,0.8096468561584841,0.7932489451476793
NC,11,0.7955894826123834,0.8079242032730405,0.8017094017094016
NC,12,0.8875219683655536,0.8699397071490095,0.8786428882122662
NC,13,0.8894783377541998,0.8664944013781223,0.8778359511343804
NC,14,0.8884986830553117,0.8716623600344531,0.88
NC,15,0.8865435356200527,0.8682170542635659,0.8772845953002611
NC,16,0.5910290237467019,0.7717484926787253,0.6694060515502428
NC,17,0.6098901098901099,0.7648578811369509,0.6786396637371036
NC,18,0.5742637644046095,0.772609819121447,0.6588321704002938
NC,19,0.5917278185456971,0.7639965546942291,0.6669172932330827
NC,20,0.5238813474107592,0.8975021533161068,0.6615873015873016
NC,21,0.5896414342629482,0.892334194659776,0.7100753941055518
NC,22,0.5092682926829268,0.8992248062015504,0.650264715042043
NC,23,0.5656675749318801,0.8940568475452196,0.6929238985313753
